,Open,High,Low,Close,Volume
2020-12-30,10.41,10.58,10.41,10.43,6741290
2020-12-31,10.47,10.62,10.45,10.54,6774680
2021-01-04,10.71,10.82,10.69,10.75,10776300
2021-01-05,10.73,11.11,10.62,11.01,18693900
2021-01-06,11.14,11.48,10.99,11.22,15883900
2021-01-07,11.22,11.26,11.11,11.22,11636100
2021-01-08,11.24,11.41,11.18,11.33,15519300
2021-01-11,11.44,11.59,11.31,11.39,9821800
2021-01-12,11.35,11.37,11.24,11.29,9277600
2021-01-13,11.37,11.39,11.14,11.2,9915300
2021-01-14,11.22,11.22,10.96,11.2,8491200
2021-01-15,11.26,11.41,11.24,11.35,8184100
2021-01-18,11.39,11.44,11.22,11.24,8419100
2021-01-19,11.18,11.22,10.47,10.47,13077400
2021-01-20,10.51,10.62,9.87,10.62,12323000
2021-01-21,10.81,10.92,10.64,10.86,6535000
2021-01-22,10.84,10.92,10.69,10.75,5438100
2021-01-25,10.62,10.69,10.52,10.54,7683600
2021-01-26,10.52,10.75,10.32,10.43,8096200
2021-01-27,10.43,10.64,10.21,10.32,6387700
2021-01-28,9.75,10.02,9.6,9.6,15154800
2021-01-29,9.19,10.09,9.19,10.06,7621200
2021-02-01,10.06,10.28,9.87,10.0,7528200
2021-02-02,10.0,10.28,9.89,10.26,6544600
2021-02-03,10.26,10.58,10.21,10.54,7054500
2021-02-04,10.54,10.58,10.43,10.58,4250800
2021-02-05,10.58,10.75,10.56,10.69,5610600
2021-02-08,10.69,10.79,10.21,10.32,5755400
2021-02-09,10.32,10.71,10.24,10.71,5954800
2021-02-17,10.81,11.07,10.77,11.03,6855800
2021-02-18,11.03,11.05,10.81,10.94,5547900
2021-02-19,10.88,11.69,10.84,11.67,31184200
2021-02-22,11.82,12.08,11.67,11.86,12587300
2021-02-23,11.95,12.1,11.8,11.89,13951000
2021-02-24,11.87,11.95,11.63,11.71,18685200
2021-02-25,11.82,12.17,11.67,12.16,15014200
2021-02-26,11.97,12.51,11.97,12.4,13071400
2021-03-01,12.53,12.55,12.34,12.47,8464900
2021-03-02,12.53,12.55,12.31,12.38,9574100
2021-03-03,12.34,12.55,12.27,12.47,9072300
2021-03-04,12.53,12.53,12.02,12.16,9814000
2021-03-05,12.04,12.23,11.86,12.17,10157000
2021-03-08,12.19,12.27,11.84,11.93,16047000
2021-03-09,11.82,12.12,11.67,12.02,8819900
2021-03-10,12.04,12.46,11.97,12.29,12152700
2021-03-11,12.38,12.42,12.29,12.38,7124300
2021-03-12,12.38,12.4,12.25,12.36,5195500
2021-03-15,12.38,12.7,12.23,12.57,18052500
2021-03-16,12.53,12.64,12.4,12.55,6112900
2021-03-17,12.55,12.59,12.46,12.57,6246400
2021-03-18,12.72,12.85,12.57,12.74,10281900
2021-03-19,12.74,12.83,12.64,12.68,7108900
2021-03-22,12.78,12.79,12.51,12.53,8706000
2021-03-23,12.59,12.59,12.31,12.38,10347000
2021-03-24,12.16,12.29,12.02,12.17,9941600
2021-03-25,12.17,12.23,11.97,12.02,8322000
2021-03-26,12.01,12.17,11.76,12.17,7931700
2021-03-29,12.34,12.42,12.16,12.38,6981300
2021-03-30,12.42,12.57,12.29,12.49,8053200
2021-03-31,12.57,12.68,12.47,12.49,4986100
2021-04-01,12.55,12.7,12.49,12.7,10439300
2021-04-02,12.83,13.13,12.76,13.0,13979400
2021-04-05,13.24,13.24,12.98,13.04,7433500
2021-04-06,13.02,13.11,12.81,13.04,7565000
2021-04-07,12.94,13.02,12.87,12.91,6400900
2021-04-08,12.89,13.02,12.83,12.91,4687900
2021-04-09,12.87,12.98,12.83,12.91,5401500
2021-04-12,12.98,13.21,12.93,13.19,12513500
2021-04-13,13.26,13.32,12.91,12.98,8736000
2021-04-14,12.87,13.04,12.81,12.98,5073300
2021-04-15,13.0,13.02,12.68,12.7,9686700
2021-04-16,13.0,12.78,12.27,12.42,8403400
2021-04-19,12.57,12.66,12.31,12.64,4291900
2021-04-20,12.76,12.91,12.46,12.61,7166900
2021-04-22,12.53,12.61,12.19,12.19,7843500
2021-04-23,12.16,12.55,12.04,12.53,6687700
2021-04-26,12.53,12.53,12.23,12.49,7119100
2021-04-27,12.38,12.76,12.25,12.76,6393000
2021-04-28,12.57,12.87,12.53,12.68,5675200
2021-04-29,12.68,13.0,12.61,13.0,16646300
2021-05-04,12.76,13.04,12.57,12.93,9333200
2021-05-05,12.98,13.45,12.98,13.24,17558400
2021-05-06,13.24,13.26,13.0,13.06,7783800
2021-05-07,12.94,13.28,12.94,13.21,12059100
2021-05-10,12.94,13.64,13.21,13.58,13491300
2021-05-11,13.66,13.66,13.43,13.43,9777000
2021-05-12,13.34,13.56,13.28,13.56,8991300
2021-05-13,13.39,13.86,13.39,13.58,11724300
2021-05-14,13.66,13.77,13.53,13.68,6118400
2021-05-17,13.88,13.96,13.68,13.71,9278700
2021-05-18,13.73,13.73,13.47,13.6,7881100
2021-05-19,13.58,13.77,13.47,13.73,8143500
2021-05-20,13.73,14.07,13.73,14.03,12263200
2021-05-21,14.03,14.37,13.99,14.07,9146500
2021-05-24,14.2,14.2,13.98,14.07,7546600
2021-05-25,14.07,14.35,13.99,14.26,8757400
2021-05-26,14.28,14.5,14.28,14.43,9976000
2021-05-27,14.44,14.69,14.22,14.33,9551700
2021-05-28,14.33,14.59,14.28,14.59,9416000
2021-05-31,14.82,15.55,14.63,15.53,16030300
2021-06-01,15.95,16.1,15.76,15.8,11159800
2021-06-02,16.0,16.73,15.95,16.73,16009600
2021-06-03,17.37,17.37,16.73,17.22,12265700
2021-06-04,16.88,17.22,16.88,17.0,9488100
2021-06-07,16.85,16.85,15.85,16.13,18505000
2021-06-08,15.96,16.28,15.08,15.08,14322800
2021-06-09,15.08,15.98,15.01,15.93,12565100
2021-06-10,16.18,16.58,15.99,15.99,14000300
2021-06-11,16.13,16.46,15.85,16.25,9532300
2021-06-14,16.25,16.37,15.88,15.99,10946100
2021-06-15,15.99,16.98,15.71,16.58,18178200
2021-06-16,16.58,16.63,16.18,16.27,8211200
2021-06-17,15.95,16.41,15.8,16.37,6392600
2021-06-18,16.51,16.65,16.37,16.41,9215200
2021-06-21,16.37,16.51,16.25,16.3,5447600
2021-06-22,16.51,16.88,16.34,16.72,14872000
2021-06-23,16.84,17.07,16.74,16.79,10244600
2021-06-24,16.88,17.09,16.7,16.98,11494200
2021-06-25,16.98,17.16,16.91,17.05,7934000
2021-06-28,17.21,17.26,17.02,17.21,7937700
2021-06-29,17.31,17.33,17.09,17.09,6677700
2021-06-30,17.07,17.12,16.7,16.74,9628000
2021-07-01,16.67,16.98,16.46,16.86,10393200
2021-07-02,17.02,17.07,16.88,16.93,6407100
2021-07-05,17.02,17.87,16.84,17.8,16668600
2021-07-06,17.82,17.92,16.88,16.88,10070000
2021-07-07,16.88,17.31,16.46,17.14,10121600
2021-07-08,17.14,17.45,16.88,16.98,7351900
2021-07-09,16.88,17.16,15.95,16.51,11315400
2021-07-12,16.18,16.3,15.36,15.36,18353700
2021-07-13,15.62,15.62,15.15,15.43,6672200
2021-07-14,15.43,15.48,14.59,14.89,10810500
2021-07-15,14.73,15.45,14.7,15.36,5095400
2021-07-16,15.55,15.76,15.38,15.76,5918800
2021-07-19,15.43,15.55,14.98,15.08,10019200
2021-07-20,15.24,15.9,15.01,15.9,8563400
2021-07-21,15.97,16.18,15.83,15.85,8179300
2021-07-22,15.85,16.13,15.57,15.99,7161900
2021-07-23,15.9,16.02,15.48,15.48,7433000
2021-07-26,15.29,15.52,15.03,15.34,7528400
2021-07-27,15.5,15.71,15.48,15.55,5634700
2021-07-28,15.57,15.76,15.5,15.55,4846400
2021-07-29,15.69,16.04,15.62,16.02,7638000
2021-07-30,16.09,16.95,16.09,16.95,35156000
2021-08-02,16.65,16.88,16.58,16.67,8646400
2021-08-03,16.63,16.79,16.41,16.79,8766300
