,Open,High,Low,Close,Volume
2020-12-30,39.4,39.44,38.45,39.02,56330
2020-12-31,38.35,39.3,38.35,39.02,47260
2021-01-04,39.02,41.67,38.78,40.72,211900
2021-01-05,40.72,40.82,39.96,40.44,106000
2021-01-06,40.72,42.71,40.72,42.24,277300
2021-01-07,41.67,42.14,41.48,41.67,86300
2021-01-08,41.67,44.56,40.25,44.56,276300
2021-01-11,47.64,47.64,47.64,47.64,92300
2021-01-12,50.95,50.95,47.83,49.34,380100
2021-01-13,49.34,50.76,46.4,48.39,301800
2021-01-14,48.3,49.34,47.64,49.25,98400
2021-01-15,49.34,49.44,47.26,48.96,150700
2021-01-18,49.25,51.9,49.25,50.76,129500
2021-01-19,52.56,52.56,47.21,49.15,169100
2021-01-20,47.21,49.06,45.74,49.06,129000
2021-01-21,49.25,50.19,47.35,50.19,121100
2021-01-22,48.39,53.7,48.39,53.7,383000
2021-01-25,56.73,57.39,54.93,54.93,388000
2021-01-26,54.93,55.97,52.09,54.83,185500
2021-01-27,54.83,56.92,53.03,54.93,205000
2021-01-28,51.14,56.73,51.14,51.14,446900
2021-01-29,47.64,53.98,47.64,53.03,91300
2021-02-01,49.72,52.56,49.72,51.14,357200
2021-02-02,49.25,52.09,49.25,52.09,97100
2021-02-03,52.09,53.98,50.19,53.51,138800
2021-02-04,50.67,53.03,50.67,53.03,22300
2021-02-05,53.03,55.88,51.14,55.59,178800
2021-02-08,55.59,55.59,51.71,52.94,84500
2021-02-09,52.94,53.98,50.86,53.98,36400
2021-02-17,53.98,55.4,53.03,55.4,55800
2021-02-18,55.88,56.73,54.45,56.63,117000
2021-02-19,56.82,57.77,55.88,57.49,91900
2021-02-22,57.77,58.05,57.3,57.77,95100
2021-02-23,57.67,57.77,55.88,57.77,49300
2021-02-24,57.77,57.77,55.4,55.88,37600
2021-02-25,55.4,55.88,54.93,55.4,57400
2021-02-26,53.98,55.31,53.51,54.45,39200
2021-03-01,54.45,55.4,54.36,54.45,59500
2021-03-02,54.45,54.83,54.36,54.83,30500
2021-03-03,54.27,57.77,54.08,57.77,113000
