,Open,High,Low,Close,Volume
2020-12-30,27.32,27.55,27.09,27.12,1442160
2020-12-31,27.12,27.49,26.98,27.49,1342380
2021-01-04,27.41,27.81,27.41,27.69,1993800
2021-01-05,27.49,27.61,27.35,27.49,2155700
2021-01-06,27.72,29.04,27.29,28.01,3674500
2021-01-07,28.01,28.64,27.84,28.07,1678500
2021-01-08,28.3,28.3,27.67,27.84,2034900
2021-01-11,27.84,27.9,27.49,27.69,2758800
2021-01-12,27.69,28.13,27.49,27.98,2189300
2021-01-13,28.01,28.24,27.78,27.81,1650200
2021-01-14,27.84,28.13,27.55,28.04,1904800
2021-01-15,28.3,28.41,28.04,28.04,2404700
2021-01-18,28.07,28.13,27.9,27.92,1685100
2021-01-19,27.9,27.9,25.97,25.97,2701100
2021-01-20,25.97,26.69,24.39,26.12,2306500
2021-01-21,26.17,26.69,25.94,26.69,1347000
2021-01-22,26.69,26.72,25.89,25.97,2211800
2021-01-25,25.83,25.94,25.49,25.6,1371900
2021-01-26,25.46,25.46,23.99,24.42,1836800
2021-01-27,24.42,24.91,23.3,23.71,2102100
2021-01-28,22.39,22.96,22.07,22.07,2692000
2021-01-29,20.95,23.45,20.95,22.9,2008200
2021-02-01,22.9,23.53,22.18,22.44,1545000
2021-02-02,22.33,22.93,22.13,22.59,2497300
2021-02-03,23.02,23.82,22.79,23.73,1851900
2021-02-04,23.76,23.88,23.48,23.82,1378500
2021-02-05,23.82,24.16,23.71,23.99,1279600
2021-02-08,23.99,24.11,22.41,23.02,1874900
2021-02-09,23.25,23.65,22.79,23.42,1448500
2021-02-17,23.45,24.16,23.45,24.16,1439000
2021-02-18,24.22,24.97,23.94,24.91,2339700
2021-02-19,24.68,25.54,24.6,25.31,2027200
2021-02-22,25.31,25.54,25.08,25.11,1523800
2021-02-23,25.11,25.31,24.8,25.26,1533100
2021-02-24,25.2,25.37,24.45,24.71,1640000
2021-02-25,24.77,25.14,24.22,24.65,1733200
2021-02-26,24.57,25.08,24.28,25.03,1379500
2021-03-01,25.03,25.49,25.03,25.31,2251400
2021-03-02,25.54,25.6,25.17,25.28,2124000
2021-03-03,25.28,25.37,25.08,25.14,1583800
2021-03-04,25.26,25.4,24.28,24.54,2089500
2021-03-05,24.54,24.85,24.11,24.34,1857200
2021-03-08,24.91,24.91,24.28,24.37,1595300
2021-03-09,24.34,24.34,23.82,24.02,2430700
2021-03-10,24.11,24.22,23.76,24.11,2056500
2021-03-11,24.51,25.03,24.42,24.85,1672400
2021-03-12,24.97,25.08,24.74,24.88,2536400
2021-03-15,24.97,25.03,24.57,24.68,2779700
2021-03-16,24.68,24.8,24.28,24.34,2223700
2021-03-17,24.39,24.91,24.08,24.85,4346500
2021-03-18,25.26,26.0,25.0,25.83,5666500
2021-03-19,25.83,26.06,25.66,25.83,2885400
2021-03-22,25.83,25.83,25.54,25.63,2562800
2021-03-23,25.54,25.57,24.74,25.08,4549300
2021-03-24,24.68,24.85,24.05,24.19,3341900
2021-03-25,24.39,24.65,24.08,24.25,2369000
2021-03-26,24.08,24.34,23.25,24.16,2445100
2021-03-29,24.39,24.48,24.19,24.42,1347900
2021-03-30,24.68,24.71,24.28,24.6,2304200
2021-03-31,24.65,24.94,24.57,24.65,2170100
2021-04-01,24.68,25.26,24.68,25.23,3706500
2021-04-02,25.49,26.12,25.28,25.83,5794100
2021-04-05,26.23,26.35,25.89,26.15,5969400
2021-04-06,26.06,26.55,25.86,26.26,4113800
2021-04-07,26.23,26.26,26.03,26.15,2609000
2021-04-08,26.23,26.29,25.66,25.71,4412400
2021-04-09,25.66,25.71,25.28,25.43,4489700
2021-04-12,25.54,26.0,25.31,25.69,5149300
2021-04-13,25.83,25.89,24.97,25.05,3952000
2021-04-14,24.97,25.43,24.68,25.26,2839300
2021-04-15,25.31,25.37,24.68,24.71,3705100
2021-04-16,25.31,24.97,24.02,24.11,4667300
2021-04-19,24.11,24.74,23.99,24.68,3194000
2021-04-20,24.74,25.26,24.65,24.8,2676100
2021-04-22,24.8,24.8,23.53,23.53,2929700
2021-04-23,23.53,24.19,23.45,24.11,3078200
2021-04-26,23.96,24.11,23.25,23.25,3328300
2021-04-27,23.25,23.42,23.07,23.16,1978500
2021-04-28,23.16,23.48,23.16,23.3,1379200
2021-04-29,23.3,24.05,23.3,23.53,1949100
2021-05-04,22.96,23.99,22.96,23.71,2171900
2021-05-05,23.94,24.31,23.82,24.05,2692200
2021-05-06,24.05,24.05,23.65,23.68,2246100
