,Open,High,Low,Close,Volume
2020-12-28,16.39,16.46,16.08,16.2,646500
2020-12-29,16.29,17.33,16.19,17.33,3283780
2020-12-30,17.67,17.67,17.3,17.3,829470
2020-12-31,17.26,17.37,17.06,17.23,419350
2021-01-04,17.37,17.37,17.13,17.2,838900
2021-01-05,17.13,17.74,17.03,17.4,473300
2021-01-06,17.47,17.53,17.26,17.3,473000
2021-01-07,17.37,17.77,17.1,17.64,818700
2021-01-08,17.67,17.87,17.23,17.64,1069100
2021-01-11,17.7,17.7,17.5,17.67,553300
2021-01-12,17.67,18.21,17.53,17.94,716800
2021-01-13,17.97,18.04,17.6,17.7,625100
2021-01-14,17.87,17.87,17.57,17.77,535900
2021-01-15,17.87,18.17,17.67,17.8,653800
2021-01-18,17.87,18.55,17.7,18.14,1671900
2021-01-19,18.14,18.14,16.89,17.13,956100
2021-01-20,17.47,17.5,16.69,17.2,580000
2021-01-21,17.37,17.87,17.37,17.87,527300
2021-01-22,17.87,18.71,17.7,18.44,1635900
2021-01-25,18.38,18.71,18.38,18.44,502900
2021-01-26,18.44,18.44,17.53,17.67,685900
2021-01-27,17.67,18.21,17.2,17.64,1147700
2021-01-28,16.52,17.3,16.4,16.4,1570700
2021-01-29,16.4,17.2,15.71,16.76,872900
2021-02-01,16.69,16.89,16.37,16.39,735900
2021-02-02,16.39,16.86,16.25,16.69,381700
2021-02-03,16.86,17.2,16.62,17.2,597000
2021-02-04,17.1,17.43,17.1,17.43,536600
2021-02-05,17.43,18.44,17.4,18.24,1628300
2021-02-08,18.24,19.05,18.11,18.38,1012600
2021-02-09,18.38,18.61,18.11,18.44,451700
2021-02-17,18.48,19.73,18.48,19.73,1718300
2021-02-18,20.23,20.43,19.86,20.13,1201700
2021-02-19,20.06,20.5,19.86,20.03,681300
2021-02-22,19.96,20.03,19.76,19.83,1131100
2021-02-23,19.59,20.4,19.56,20.06,819100
2021-02-24,20.3,21.24,20.23,20.84,1090400
2021-02-25,21.24,22.09,21.11,22.09,1116400
2021-02-26,21.58,22.15,21.58,21.92,776200
2021-03-01,22.19,22.19,21.68,21.99,683000
2021-03-02,21.99,22.02,21.58,21.75,856900
2021-03-03,21.82,23.27,21.78,23.27,1607700
2021-03-04,23.6,24.28,23.23,23.87,991500
2021-03-05,23.6,24.18,22.93,24.08,780900
2021-03-08,24.21,24.45,23.47,23.64,864600
2021-03-09,23.64,24.08,23.43,23.87,600800
2021-03-10,23.94,24.11,23.84,23.97,605400
2021-03-11,24.01,24.48,23.74,24.28,666000
2021-03-12,24.21,24.62,24.14,24.55,566500
