,Open,High,Low,Close,Volume
2020-12-28,25.03,25.33,24.86,25.03,2197090
2020-12-29,25.03,25.42,24.9,25.33,2172950
2020-12-30,25.46,25.46,25.12,25.12,1204180
2020-12-31,25.12,25.59,25.07,25.55,2036370
2021-01-04,25.76,26.02,25.63,26.02,2151300
2021-01-05,25.94,27.45,25.85,27.1,2332200
2021-01-06,27.28,27.49,26.93,26.97,1796000
2021-01-07,27.06,27.19,26.76,27.02,2150200
2021-01-08,27.23,27.54,27.06,27.36,2720400
2021-01-11,27.62,27.97,27.36,27.97,1972800
2021-01-12,28.1,28.53,27.67,28.44,2435200
2021-01-13,28.49,29.14,28.49,28.75,2612000
2021-01-14,28.75,28.96,28.4,28.7,1777500
2021-01-15,28.96,28.96,28.7,28.79,1540400
2021-01-18,28.96,28.96,28.62,28.66,1209000
2021-01-19,28.53,28.57,26.67,26.8,3505600
2021-01-20,27.1,27.54,26.02,27.36,3663800
2021-01-21,27.88,28.44,27.36,28.36,2313100
2021-01-22,28.4,29.18,28.27,28.92,2090300
2021-01-25,28.88,29.48,28.62,28.96,3111900
2021-01-26,29.18,29.18,28.31,28.53,2597500
2021-01-27,28.4,28.57,27.19,27.23,2226800
2021-01-28,25.94,26.93,25.33,25.33,5092400
2021-01-29,25.5,27.1,25.5,27.1,3211900
2021-02-01,27.84,28.27,26.93,27.45,2017400
2021-02-02,27.28,28.53,27.23,28.53,3264600
2021-02-03,29.18,30.52,28.57,30.26,4173500
2021-02-04,30.35,31.64,30.35,31.34,4398700
2021-02-05,31.56,31.73,31.04,31.51,2084900
2021-02-08,31.51,31.51,30.09,30.82,4035600
2021-02-09,30.87,32.25,30.26,32.25,4224300
2021-02-17,32.98,34.15,32.81,33.67,3139100
2021-02-18,33.72,33.85,33.11,33.8,2243100
2021-02-19,33.42,33.72,32.85,33.11,3722700
2021-02-22,33.11,33.5,32.9,33.2,2319300
2021-02-23,32.98,33.29,32.25,32.64,3369500
2021-02-24,32.85,33.07,32.38,32.59,2225200
2021-02-25,32.9,32.98,32.21,32.94,1927500
2021-02-26,32.42,33.03,32.38,32.94,1936000
2021-03-01,33.2,33.72,33.2,33.67,2078100
2021-03-02,34.11,34.11,33.24,33.67,1821700
2021-03-03,33.72,33.76,33.46,33.59,1599400
2021-03-04,33.59,33.63,32.46,32.81,2901500
2021-03-05,32.64,32.85,32.21,32.81,2507500
2021-03-08,32.85,33.07,32.59,32.77,1656600
2021-03-09,32.42,32.72,32.21,32.42,2182400
2021-03-10,32.81,33.5,32.42,32.98,2602400
2021-03-11,33.07,33.33,32.9,33.16,1477800
2021-03-12,33.29,33.33,32.98,33.07,2062800
2021-03-15,33.11,33.5,32.9,33.07,1760900
2021-03-16,33.29,35.23,33.11,35.02,5111000
2021-03-17,35.23,35.23,34.58,34.93,1603200
2021-03-18,35.02,35.02,34.58,35.02,1807500
2021-03-19,34.58,34.8,34.32,34.5,2247800
2021-03-22,34.37,34.41,33.85,34.02,2084800
2021-03-23,33.93,34.58,33.85,34.06,2201700
2021-03-24,33.67,34.11,33.07,33.29,2480100
2021-03-25,33.5,33.5,33.07,33.11,2305400
2021-03-26,32.94,33.2,32.21,32.9,2672600
2021-03-29,33.07,33.76,32.9,33.55,1997700
2021-03-30,33.67,33.72,33.29,33.33,1512500
2021-03-31,33.33,33.76,33.11,33.59,1373400
2021-04-01,33.67,34.45,33.67,34.45,2500900
2021-04-02,34.76,34.8,34.5,34.5,1950200
2021-04-05,34.76,34.8,34.11,34.41,1487000
2021-04-06,34.19,34.58,34.19,34.32,1505800
2021-04-07,34.24,34.45,34.19,34.41,1503800
2021-04-08,34.67,34.84,34.37,34.41,1609800
2021-04-09,34.54,35.88,34.54,35.49,3970400
2021-04-12,35.62,35.62,35.23,35.49,2022500
2021-04-13,35.45,35.53,34.8,34.89,2038100
2021-04-14,34.58,35.02,34.37,35.02,2530600
2021-04-15,35.02,35.19,34.5,34.58,2096200
2021-04-16,35.02,35.1,34.06,34.45,2194600
2021-04-19,34.58,35.23,34.37,35.23,2380800
2021-04-20,35.36,36.7,35.27,35.84,4742800
2021-04-22,35.45,36.27,34.58,34.58,2271200
2021-04-23,34.58,35.88,34.45,35.88,3166400
2021-04-26,35.66,35.79,34.8,35.02,2551300
2021-04-27,34.76,35.19,34.63,34.89,1287100
2021-04-28,34.63,35.14,34.63,34.93,1366700
2021-04-29,34.93,35.36,34.93,34.97,2095500
2021-05-04,34.58,36.1,34.58,35.84,2362100
2021-05-05,36.53,36.53,35.75,35.84,2321300
2021-05-06,35.88,36.1,35.53,35.75,1969000
2021-05-07,35.75,36.31,35.58,35.88,2705900
2021-05-10,35.75,37.18,35.88,37.09,4504300
2021-05-11,37.18,37.44,36.83,36.83,2078700
2021-05-12,36.74,36.92,36.44,36.92,1844500
2021-05-13,36.74,36.92,36.31,36.31,2558300
2021-05-14,36.44,37.26,36.36,36.66,1858700
2021-05-17,37.09,37.44,36.83,37.05,1744500
2021-05-18,37.35,37.78,37.26,37.61,2133500
2021-05-19,37.82,39.38,37.52,39.25,2876300
2021-05-20,39.25,41.28,39.08,41.28,3523900
2021-05-21,40.76,41.76,40.2,40.55,3222700
2021-05-24,40.55,40.59,39.81,40.42,2669500
2021-05-25,40.42,41.15,40.12,40.55,2156300
2021-05-26,40.72,41.28,40.51,41.2,1992800
2021-05-27,41.2,41.24,40.42,40.55,1745800
2021-05-28,40.63,41.07,40.51,40.98,1874300
2021-05-31,41.28,42.36,40.94,42.32,3237700
2021-06-01,44.15,44.45,43.7,43.75,3495000
2021-06-02,43.75,43.95,42.69,42.94,3053900
2021-06-03,42.69,42.89,42.34,42.79,3190800
2021-06-04,42.69,42.74,42.09,42.54,3820600
2021-06-07,42.49,42.54,40.68,41.54,3711200
2021-06-08,41.18,41.69,40.48,40.58,3486000
2021-06-09,40.48,41.23,39.68,41.03,3576100
2021-06-10,41.03,41.44,40.68,41.13,2214900
2021-06-11,40.93,42.14,40.83,41.94,2359600
2021-06-14,41.94,42.49,41.69,42.09,2547600
2021-06-15,42.09,42.44,41.79,41.79,1778700
2021-06-16,41.79,42.49,41.54,41.74,2462000
2021-06-17,41.23,41.74,41.23,41.49,2236400
2021-06-18,41.74,42.29,41.54,42.09,1681700
2021-06-21,41.99,43.34,41.79,42.99,3878300
2021-06-22,43.24,43.49,42.89,42.89,1760300
2021-06-23,42.84,42.99,42.24,42.64,1599900
2021-06-24,42.34,42.64,42.14,42.54,1657800
2021-06-25,42.54,42.89,42.29,42.79,1503400
2021-06-28,43.24,43.24,42.89,43.04,1858800
2021-06-29,43.49,44.7,43.34,44.5,4897800
2021-06-30,44.7,44.75,44.2,44.2,1651100
2021-07-01,44.25,44.65,44.2,44.65,1700100
2021-07-02,44.85,46.46,44.65,46.16,3873500
2021-07-05,47.71,47.71,45.7,46.56,2961100
2021-07-06,46.46,46.71,43.7,43.7,2640500
2021-07-07,43.7,45.7,42.69,45.45,4910200
2021-07-08,45.4,45.45,44.7,45.1,2375400
2021-07-09,45.0,46.21,44.6,45.05,2947000
2021-07-12,44.6,45.05,41.99,43.24,6764400
2021-07-13,43.65,43.85,42.69,43.7,2207400
2021-07-14,44.0,44.0,42.54,42.79,2433500
2021-07-15,42.54,43.49,42.54,42.89,2714600
2021-07-16,43.14,44.2,42.94,43.6,2285700
2021-07-19,42.79,43.39,42.44,42.54,3288800
2021-07-20,42.59,43.6,42.14,43.6,2553700
2021-07-21,43.6,44.15,43.24,43.49,3369200
2021-07-22,43.29,45.0,43.29,44.9,4445600
2021-07-23,44.9,46.66,44.55,45.45,6755700
2021-07-26,45.35,47.16,45.3,47.06,5773100
2021-07-27,47.41,47.66,46.46,46.81,5007000
2021-07-28,46.61,47.06,46.06,46.21,3346700
2021-07-29,46.21,47.16,46.06,46.91,3712900
2021-07-30,46.96,47.61,46.61,47.21,4525900
2021-08-02,47.21,48.52,47.21,48.01,4275900
2021-08-03,48.12,48.22,47.56,48.12,3607200
2021-08-04,48.17,48.32,47.66,48.01,2818400
2021-08-05,47.81,48.72,47.66,48.52,2485600
2021-08-06,48.62,48.82,48.12,48.52,3413900
2021-08-09,48.72,49.07,48.17,48.97,2934500
2021-08-10,49.37,49.42,49.02,49.12,2680700
2021-08-11,49.07,49.12,48.27,48.27,4883200
2021-08-12,48.12,48.22,46.91,47.11,8399400
2021-08-13,46.76,47.71,46.71,47.71,3618700
2021-08-16,48.22,48.32,47.92,48.02,1906800
2021-08-17,47.76,48.02,47.46,47.61,2801700
2021-08-18,47.61,48.17,47.61,47.71,1951000
2021-08-19,48.22,48.22,47.61,47.97,2721600
2021-08-20,47.97,48.07,46.24,47.1,4349300
2021-08-23,46.95,46.95,46.19,46.19,3436600
2021-08-24,46.44,46.7,45.63,46.65,3081500
2021-08-25,46.9,46.9,46.19,46.65,1344000
2021-08-26,46.7,47.15,46.29,46.39,1758700
2021-08-27,46.19,46.7,45.99,46.7,1896200
2021-08-30,47.2,47.2,46.75,46.8,1494800
2021-08-31,46.85,47.31,46.7,46.9,1952500
2021-09-01,46.75,47.2,46.75,46.9,1353300
2021-09-06,46.9,48.17,46.85,48.17,3124600
2021-09-07,48.37,48.37,47.46,47.46,2290600
2021-09-08,47.46,47.81,47.1,47.26,1453800
2021-09-09,47.26,47.66,47.1,47.31,1393700
2021-09-10,47.41,47.92,47.41,47.46,1440100
2021-09-13,47.51,47.71,47.15,47.2,1600000
2021-09-14,47.36,48.07,47.2,47.61,2523200
2021-09-15,47.61,47.92,47.36,47.76,1690100
2021-09-16,47.92,48.22,47.81,48.07,1924700
2021-09-17,48.47,49.23,48.42,48.58,3325700
2021-09-20,48.73,48.83,47.76,47.92,2526100
2021-09-21,47.41,47.71,46.95,47.46,2697100
2021-09-22,47.31,47.41,47.05,47.31,2027200
