,Open,High,Low,Close,Volume
2020-12-30,7.71,7.79,7.69,7.69,3005990
2020-12-31,7.72,7.8,7.69,7.74,2587530
2021-01-04,7.87,7.89,7.79,7.85,6829000
2021-01-05,7.85,8.11,7.85,8.07,7231800
2021-01-06,8.08,8.51,8.08,8.36,11331100
2021-01-07,8.47,8.78,8.46,8.73,8328800
2021-01-08,8.86,8.96,8.73,8.83,6924700
2021-01-11,8.86,8.94,8.64,8.75,6768300
2021-01-12,8.7,8.77,8.57,8.72,5101900
2021-01-13,8.72,8.8,8.7,8.75,6388800
2021-01-14,8.8,8.8,8.64,8.73,3675000
2021-01-15,8.8,9.12,8.78,9.09,7103500
2021-01-18,9.09,9.09,8.8,8.88,5150200
2021-01-19,8.8,8.8,8.26,8.26,5782200
2021-01-20,8.26,8.42,7.82,8.31,6660300
2021-01-21,8.37,8.57,8.15,8.41,4714900
2021-01-22,8.41,8.62,8.37,8.51,2937200
2021-01-25,8.51,8.51,8.31,8.36,2373100
2021-01-26,8.28,8.28,7.82,7.98,3770100
2021-01-27,7.84,8.07,7.49,7.59,4373100
2021-01-28,7.07,7.27,7.07,7.07,4508900
2021-01-29,6.58,7.56,6.58,7.27,5395400
2021-02-01,7.3,7.54,7.1,7.23,3380300
2021-02-02,7.23,7.66,7.15,7.56,3057100
2021-02-03,7.63,7.85,7.56,7.82,4470000
2021-02-04,7.82,7.87,7.61,7.67,3323600
2021-02-05,7.69,7.85,7.67,7.85,3084000
2021-02-08,7.84,7.85,7.45,7.64,3918400
2021-02-09,7.69,7.85,7.59,7.85,3156000
2021-02-17,7.92,8.28,7.85,8.28,4203900
2021-02-18,8.28,8.41,8.15,8.31,4632300
2021-02-19,8.18,8.39,8.11,8.33,4034000
2021-02-22,8.33,8.54,8.33,8.41,6535800
2021-02-23,8.34,8.55,8.31,8.46,4611000
2021-02-24,8.47,8.52,8.21,8.29,4438700
2021-02-25,8.36,8.37,8.08,8.31,4931000
2021-02-26,8.15,8.28,8.13,8.2,4328500
2021-03-01,8.24,8.41,8.24,8.41,3271800
2021-03-02,8.51,8.8,8.44,8.7,8274900
2021-03-03,8.72,8.9,8.64,8.78,5701400
2021-03-04,8.77,8.8,8.41,8.54,4433800
2021-03-05,8.54,8.57,8.34,8.42,5045400
2021-03-08,8.54,8.57,8.42,8.46,2950800
2021-03-09,8.42,8.51,8.23,8.46,2548600
2021-03-10,8.46,8.54,8.34,8.51,2806700
2021-03-11,8.64,8.67,8.51,8.6,3621700
2021-03-12,8.64,8.75,8.62,8.68,4051500
2021-03-15,8.68,8.73,8.65,8.68,2840700
2021-03-16,8.73,8.77,8.64,8.73,4549400
2021-03-17,8.77,8.99,8.77,8.96,7798100
2021-03-18,9.06,9.06,8.8,8.96,7237000
2021-03-19,8.9,8.93,8.78,8.85,4935200
2021-03-22,8.85,8.85,8.7,8.78,3963200
2021-03-23,8.78,8.78,8.57,8.64,3947000
2021-03-24,8.51,8.57,8.15,8.31,5338200
2021-03-25,8.31,8.44,8.28,8.34,4130500
2021-03-26,8.31,8.46,8.08,8.39,4007600
2021-03-29,8.47,8.54,8.37,8.47,3149300
2021-03-30,8.51,8.59,8.42,8.54,4092000
2021-03-31,8.67,8.73,8.57,8.6,3883700
2021-04-01,8.67,8.77,8.6,8.73,3531500
2021-04-02,8.81,8.93,8.8,8.88,6221100
2021-04-05,9.22,9.22,8.98,9.01,5898700
2021-04-06,9.01,9.06,8.86,8.99,5343500
2021-04-07,9.01,9.06,8.93,9.04,4333600
2021-04-08,9.12,9.19,9.09,9.14,5669400
2021-04-09,9.17,9.17,9.09,9.12,3890400
2021-04-12,9.16,9.16,8.8,9.09,9500100
2021-04-13,9.22,9.22,8.96,9.01,5844900
2021-04-14,9.01,9.09,8.91,9.09,2954300
2021-04-15,9.09,9.09,8.91,8.91,4656800
2021-04-16,9.09,8.93,8.64,8.68,4639500
2021-04-19,8.9,8.9,8.68,8.9,3695000
2021-04-20,8.98,8.99,8.81,8.86,3470400
2021-04-22,8.86,8.86,8.57,8.57,4280300
2021-04-23,8.57,8.78,8.47,8.77,4256300
2021-04-26,8.77,8.83,8.51,8.64,3955800
2021-04-27,8.64,8.78,8.47,8.73,3175700
2021-04-28,8.73,8.78,8.7,8.75,2933300
2021-04-29,8.75,8.94,8.75,8.88,4836700
2021-05-04,8.68,8.9,8.67,8.86,4476200
2021-05-05,8.9,9.48,8.9,9.47,17394400
2021-05-06,9.55,9.6,9.32,9.38,5442700
2021-05-07,9.25,9.94,9.25,9.78,15743900
2021-05-10,9.25,10.18,9.71,10.04,9105400
2021-05-11,10.04,10.1,9.78,9.78,5377400
2021-05-12,9.71,9.87,9.61,9.84,9313400
2021-05-13,9.84,10.12,9.81,9.87,9057200
2021-05-14,10.04,10.26,9.94,10.17,7556800
2021-05-17,10.25,10.4,10.04,10.15,8422100
2021-05-18,10.15,10.17,9.94,9.97,7207100
2021-05-19,9.97,10.28,9.96,10.25,7076700
2021-05-20,10.25,10.53,10.1,10.43,9768400
2021-05-21,10.43,10.62,10.33,10.4,5745200
2021-05-24,10.4,10.46,10.3,10.35,5478200
2021-05-25,10.26,10.59,10.26,10.59,5954400
2021-05-26,10.69,10.77,10.56,10.69,4418200
2021-05-27,10.75,10.88,10.4,10.43,6586700
2021-05-28,10.49,10.75,10.4,10.7,6061000
2021-05-31,10.75,11.05,10.56,11.01,10124400
2021-06-01,11.08,11.41,11.08,11.18,5188000
2021-06-02,11.08,11.21,10.92,11.08,4972900
2021-06-03,11.26,11.8,11.18,11.67,8524500
2021-06-04,11.7,11.73,11.41,11.55,9321600
2021-06-07,11.63,11.7,11.08,11.29,6948800
2021-06-08,11.29,11.29,10.53,10.53,6496800
2021-06-09,10.53,11.03,10.1,10.88,5641300
2021-06-10,10.85,11.08,10.59,10.66,4044400
2021-06-11,10.69,11.32,10.66,11.23,6158200
2021-06-14,11.24,11.27,11.08,11.11,4570000
2021-06-15,11.11,11.6,11.08,11.32,5603100
2021-06-16,11.14,11.32,10.79,11.01,3846900
2021-06-17,10.66,11.03,10.66,10.95,4396000
2021-06-18,11.11,11.26,11.01,11.16,3838700
2021-06-21,11.06,11.1,10.92,10.97,2916200
2021-06-22,11.01,11.27,10.95,11.19,4849100
2021-06-23,11.31,11.31,11.16,11.16,3058700
2021-06-24,11.16,11.32,11.1,11.16,2880700
2021-06-25,11.23,11.5,11.16,11.5,4996600
2021-06-28,11.71,11.76,11.63,11.73,5338200
2021-06-29,11.68,11.8,11.57,11.7,4712300
2021-06-30,11.7,11.73,11.57,11.57,3412100
2021-07-01,11.5,11.88,11.5,11.88,5516400
2021-07-02,11.89,12.15,11.89,12.12,4656100
2021-07-05,12.32,12.32,11.89,12.19,5016800
2021-07-06,12.25,12.35,11.34,11.41,5968500
2021-07-07,11.57,11.89,11.27,11.89,6200500
2021-07-08,11.86,11.96,11.67,11.71,3761000
2021-07-09,11.47,11.76,11.37,11.41,3486500
2021-07-12,11.34,11.47,10.61,11.01,6482700
2021-07-13,11.11,11.14,10.69,11.06,2913100
2021-07-14,11.06,11.08,10.46,10.64,2836700
2021-07-15,10.53,10.93,10.53,10.82,2865600
2021-07-16,11.01,11.01,10.8,10.9,2882400
2021-07-19,10.7,10.7,10.17,10.4,3417800
2021-07-20,10.4,10.92,10.2,10.88,2367200
2021-07-21,10.85,10.92,10.44,10.49,2619400
2021-07-22,10.43,10.62,10.43,10.56,2413500
2021-07-23,10.53,10.82,10.51,10.54,4378800
2021-07-26,10.54,10.62,10.33,10.59,1469100
2021-07-27,10.62,10.72,10.49,10.59,3511000
2021-07-28,10.69,10.75,10.61,10.72,3266600
2021-07-29,10.85,10.9,10.75,10.88,2044800
2021-07-30,10.92,11.05,10.85,10.98,3336400
2021-08-02,10.98,11.23,10.88,11.14,3844500
2021-08-03,11.14,11.37,11.1,11.37,3680900
2021-08-04,11.41,11.5,11.34,11.42,3243000
2021-08-05,11.32,11.58,11.27,11.57,3369900
2021-08-06,11.57,11.6,11.36,11.41,2688800
2021-08-09,11.37,11.57,11.27,11.57,2588600
2021-08-10,11.7,11.73,11.49,11.58,3089700
2021-08-11,11.6,11.68,11.54,11.55,2101700
2021-08-12,11.5,11.57,11.41,11.42,2057200
2021-08-13,11.41,11.52,11.16,11.32,2666100
2021-08-16,11.32,11.65,11.27,11.65,3287100
2021-08-17,11.71,11.89,11.57,11.65,2284000
2021-08-18,11.65,11.71,11.57,11.6,1655200
2021-08-19,11.6,11.73,11.45,11.73,2429400
2021-08-20,11.44,11.63,11.08,11.24,3131500
2021-08-23,11.18,11.18,10.88,10.95,2670700
2021-08-24,10.95,11.13,10.84,10.98,2542400
2021-08-25,11.08,11.08,10.97,11.01,3519700
2021-08-26,11.1,11.36,10.94,10.94,2801300
2021-08-27,10.88,10.92,10.47,10.79,2571400
2021-08-30,10.84,10.9,10.77,10.88,2054800
2021-08-31,10.88,10.9,10.57,10.57,1949100
2021-09-01,10.55,10.71,10.43,10.45,3120000
2021-09-06,10.47,10.84,10.45,10.73,2910800
2021-09-07,10.84,10.88,10.73,10.88,1952300
2021-09-08,11.0,11.0,10.84,10.9,2319700
2021-09-09,10.84,10.9,10.63,10.75,1965900
2021-09-10,10.71,10.75,10.55,10.55,2605000
2021-09-13,10.57,10.57,10.26,10.26,2737500
2021-09-14,10.22,10.37,10.1,10.1,2116200
2021-09-15,10.1,10.18,10.06,10.08,1936900
2021-09-16,10.18,10.26,10.1,10.22,1698800
2021-09-17,10.26,10.37,10.26,10.37,2214400
2021-09-20,10.51,10.59,10.47,10.47,1862600
2021-09-21,10.45,10.45,10.31,10.41,1870000
2021-09-22,10.41,10.41,10.22,10.37,1509200
2021-09-23,10.39,10.45,10.26,10.35,1697000
2021-09-24,10.37,10.45,10.31,10.39,1608800
2021-09-27,10.43,10.57,10.39,10.39,2164500
2021-09-28,10.39,10.43,10.29,10.37,3032800
2021-09-29,10.39,10.45,10.26,10.35,2055500
2021-09-30,10.29,10.39,10.26,10.35,2452100
2021-10-01,10.33,10.37,10.1,10.12,2094800
2021-10-04,10.06,10.14,9.8,9.82,1978700
2021-10-05,9.84,10.02,9.78,9.98,1150700
2021-10-06,10.06,10.08,9.86,9.88,1221300
2021-10-07,9.94,9.94,9.8,9.82,1458700
2021-10-08,9.86,9.92,9.8,9.92,1393200
2021-10-11,9.98,10.47,9.98,10.45,2705000
2021-10-12,10.45,10.49,10.33,10.41,1745400
2021-10-13,10.47,10.63,10.41,10.47,2856800
2021-10-14,10.43,10.63,10.35,10.57,2589000
2021-10-15,10.57,10.59,10.43,10.45,2792100
2021-10-18,10.47,10.53,10.41,10.47,3820900
2021-10-19,10.51,10.53,10.31,10.37,2329900
2021-10-20,10.35,10.47,10.2,10.2,2493600
2021-10-21,10.22,10.31,10.02,10.02,2785600
2021-10-22,10.18,10.22,10.0,10.0,2476900
2021-10-25,10.14,10.14,9.96,9.98,2215300
2021-10-26,10.0,10.06,9.9,10.06,2018200
2021-10-27,10.06,10.39,10.02,10.26,3190200
2021-10-28,10.35,10.43,10.29,10.41,4112200
2021-10-29,10.41,10.41,10.29,10.29,2942400
2021-11-01,10.37,10.39,10.29,10.31,3126200
2021-11-02,10.31,10.43,10.31,10.43,4944500
2021-11-03,10.45,11.14,10.43,11.08,12652600
2021-11-04,11.14,11.16,10.98,11.02,5169100
2021-11-05,11.02,11.04,10.79,10.88,3229100
2021-11-08,10.92,11.08,10.77,11.0,5282700
2021-11-09,11.08,11.36,11.08,11.28,7774000
2021-11-10,11.32,11.53,11.3,11.41,4761000
2021-11-11,11.41,11.45,11.08,11.28,5559400
2021-11-12,11.28,11.47,11.18,11.41,4222900
2021-11-15,11.57,12.0,11.49,11.75,8997600
2021-11-16,11.79,11.89,11.36,11.36,6752700
2021-11-17,11.41,11.41,11.16,11.32,4405400
2021-11-18,11.36,11.81,11.36,11.51,7022000
2021-11-19,11.67,12.3,11.65,12.3,20848700
2021-11-22,12.55,13.16,12.55,13.16,13191900
2021-11-23,13.16,13.16,12.79,12.95,5900600
2021-11-24,12.99,13.83,12.97,13.65,11827300
2021-11-25,13.6,13.65,13.24,13.24,8648900
2021-11-26,13.36,13.52,12.77,12.77,7905600
2021-11-29,12.63,13.22,12.38,12.83,11772200
2021-11-30,13.16,13.16,12.42,12.42,8085900
2021-12-01,12.46,13.03,12.44,13.03,6340200
2021-12-02,13.2,13.24,12.83,12.83,6081500
2021-12-03,12.99,13.14,12.63,12.63,9937000
2021-12-06,12.55,12.71,11.75,11.85,9007300
2021-12-07,11.98,12.4,11.83,12.22,4231300
2021-12-08,12.3,12.71,12.08,12.34,6574700
2021-12-09,12.14,12.59,12.14,12.53,3420900
2021-12-10,12.46,12.79,12.44,12.51,4162000
2021-12-13,12.51,12.65,12.22,12.24,6201300
2021-12-14,12.22,12.42,12.06,12.06,4900600
2021-12-15,12.02,12.57,11.91,12.24,4567700
2021-12-16,12.38,12.42,12.02,12.1,3467900
2021-12-17,12.18,12.3,11.98,12.02,5496100
2021-12-20,12.02,12.22,11.85,12.06,4979300
2021-12-21,12.06,12.14,11.93,11.98,3182800
2021-12-22,12.1,12.1,11.32,11.36,10243600
2021-12-23,11.41,11.55,10.84,10.94,7168600
2021-12-24,11.18,11.69,11.08,11.69,3390900
2021-12-27,11.96,12.04,11.69,11.71,4551200
2021-12-28,11.73,12.53,11.67,12.42,8552300
2021-12-29,12.42,12.79,12.42,12.46,6732400
2021-12-30,12.46,12.69,12.38,12.46,3794800
2021-12-31,12.46,12.99,12.3,12.57,7209800
2022-01-04,12.69,12.93,12.63,12.67,6809800
2022-01-05,12.63,12.73,12.42,12.42,6545900
2022-01-06,12.26,12.65,12.2,12.42,6758800
2022-01-07,12.42,12.57,12.32,12.34,4097600
2022-01-10,12.26,12.46,12.06,12.06,5767800
2022-01-11,12.02,12.22,11.81,11.93,4728700
2022-01-12,11.89,12.71,11.81,12.61,5575800
2022-01-13,12.75,13.24,12.55,12.55,10388600
2022-01-14,12.34,12.63,12.3,12.46,2685100
2022-01-17,12.55,12.83,11.81,11.81,7549400
2022-01-18,11.91,12.18,11.61,12.04,4770700
2022-01-19,12.04,12.14,11.69,11.79,3126200
2022-01-20,11.69,12.0,11.57,11.77,4224200
2022-01-21,11.81,12.22,11.73,11.89,3996600
2022-01-24,11.89,12.14,11.69,11.81,4631300
2022-01-25,11.81,12.24,11.79,12.24,4307300
2022-01-26,12.38,12.83,12.26,12.51,8119600
2022-01-27,12.51,12.83,12.42,12.55,4975900
2022-01-28,12.59,12.75,12.53,12.59,4433000
2022-02-07,12.79,12.99,12.67,12.67,5636100
2022-02-08,12.69,12.95,12.59,12.79,5773600
2022-02-09,12.91,13.24,12.83,12.87,7762300
2022-02-10,12.75,12.89,12.61,12.83,5831800
2022-02-11,12.79,12.89,12.67,12.71,4089300
2022-02-14,12.42,12.55,11.89,11.89,15851700
2022-02-15,11.89,12.1,11.75,12.02,5535200
2022-02-16,12.14,12.16,11.85,11.91,4300300
2022-02-17,11.98,12.12,11.89,12.12,3130000
2022-02-18,11.98,12.06,11.89,12.02,3744200
2022-02-21,11.93,12.08,11.75,12.06,6166700
2022-02-22,11.87,12.08,11.79,12.04,4648000
2022-02-23,12.06,12.18,12.02,12.08,4830000
2022-02-24,12.02,12.04,11.41,11.73,14817600
2022-02-25,11.89,12.04,11.85,11.91,4047700
2022-02-28,11.93,11.96,11.67,11.73,4814300
2022-03-01,11.73,11.77,11.55,11.63,6802600
2022-03-02,11.51,11.57,11.12,11.14,11479300
2022-03-03,11.28,11.51,11.12,11.51,4099800
2022-03-04,11.61,11.61,11.41,11.41,3674300
2022-03-07,11.28,11.28,11.06,11.16,6996500
2022-03-08,11.16,11.24,11.12,11.14,4817700
2022-03-09,11.12,11.2,11.0,11.0,4310900
2022-03-10,11.22,11.22,10.98,10.98,4006000
2022-03-11,10.98,11.16,10.96,11.12,2941600
2022-03-14,11.1,11.14,10.98,11.04,2358200
2022-03-15,11.06,11.18,11.04,11.08,2024200
2022-03-16,11.16,11.16,11.0,11.06,3690400
2022-03-17,11.18,11.32,11.1,11.2,3335700
2022-03-18,11.34,11.47,11.24,11.24,2331600
2022-03-21,11.24,11.53,11.24,11.53,3361200
2022-03-22,11.59,11.61,11.47,11.53,3100400
2022-03-23,11.57,11.61,11.41,11.41,2676600
2022-03-24,11.41,11.53,11.32,11.45,2563200
2022-03-25,11.45,11.49,11.38,11.38,2374000
2022-03-28,11.28,11.49,11.12,11.16,3373300
2022-03-29,11.18,11.28,11.1,11.22,1820800
2022-03-30,11.28,11.57,11.24,11.53,5840700
2022-03-31,11.67,11.69,11.47,11.55,2562900
2022-04-01,11.45,12.0,11.41,12.0,7510400
2022-04-04,12.18,12.18,11.81,11.85,5171400
2022-04-05,11.85,12.02,11.71,11.71,2532700
2022-04-06,11.65,11.91,11.63,11.81,4630400
2022-04-07,11.87,12.02,11.77,11.77,6900400
2022-04-08,11.81,11.91,11.51,11.51,2462900
2022-04-12,11.51,11.53,11.24,11.32,3126000
2022-04-13,11.32,11.51,11.2,11.41,3384900
2022-04-14,11.41,11.45,11.12,11.12,3783800
2022-04-15,11.12,11.2,10.69,10.71,5895200
2022-04-18,10.71,10.88,10.43,10.59,3617400
2022-04-19,10.75,10.79,10.53,10.55,3081000
2022-04-20,10.55,10.67,10.47,10.49,3150300
2022-04-21,10.47,10.51,9.82,10.14,4749600
2022-04-22,10.24,10.47,10.06,10.24,3343400
2022-04-25,10.24,10.35,9.53,9.59,4043700
2022-04-26,9.37,10.02,9.25,9.98,4387900
2022-04-27,9.9,10.26,9.76,10.18,2477600
2022-04-28,10.18,10.37,10.18,10.26,2841700
2022-04-29,10.33,10.37,10.18,10.31,2248100
2022-05-04,10.29,10.31,10.1,10.1,2188600
2022-05-05,10.18,10.26,9.98,10.24,1473300
2022-05-06,9.9,10.1,9.78,9.8,2186300
2022-05-09,9.59,9.76,9.29,9.37,4028300
2022-05-10,9.21,9.86,9.12,9.8,3446700
2022-05-11,9.82,9.98,9.67,9.88,1473500
2022-05-12,9.78,9.8,9.29,9.35,2914500
2022-05-13,9.33,9.49,8.76,9.04,4888300
2022-05-16,9.33,9.35,8.96,9.16,2452800
2022-05-17,9.33,9.78,8.98,9.78,2515100
2022-05-18,9.78,9.92,9.61,9.78,2847700
2022-05-19,9.63,9.94,9.47,9.9,3109400
2022-05-20,9.9,10.06,9.78,9.92,2321500
2022-05-23,10.02,10.04,9.63,9.86,2385600
2022-05-24,9.82,10.02,9.71,10.02,2350200
2022-05-25,10.02,10.45,10.02,10.45,3348900
2022-05-26,10.31,10.51,10.31,10.41,1879100
2022-05-27,10.39,10.53,10.31,10.51,1672700
2022-05-30,10.63,10.63,10.47,10.53,1969700
2022-05-31,10.53,10.63,10.47,10.63,2242700
2022-06-01,10.63,10.77,10.43,10.65,2355800
2022-06-02,10.65,10.67,10.53,10.59,1996500
2022-06-03,10.55,10.59,10.26,10.35,1109800
2022-06-06,10.26,10.49,10.18,10.31,1590300
2022-06-07,10.31,10.41,10.1,10.31,1542300
2022-06-08,10.39,10.69,10.2,10.57,2656600
2022-06-09,10.49,10.59,10.47,10.51,865000
2022-06-10,10.51,10.75,10.39,10.55,3244500
2022-06-13,10.18,10.43,9.98,10.0,2229000
2022-06-14,9.82,10.31,9.82,10.14,2729000
