,Open,High,Low,Close,Volume
2020-12-28,17.62,17.68,17.28,17.51,21024800
2020-12-29,17.39,17.64,17.3,17.53,13443950
2020-12-30,17.53,17.53,17.18,17.24,21907500
2020-12-31,17.24,17.6,17.16,17.47,11867640
2021-01-04,17.7,18.12,17.56,17.83,15832600
2021-01-05,17.62,18.04,17.58,17.85,18634100
2021-01-06,17.91,18.25,17.83,18.04,17948600
2021-01-07,18.19,18.21,17.81,18.04,21780700
2021-01-08,18.08,18.25,17.96,18.02,19978500
2021-01-11,18.17,18.25,17.96,18.15,16645100
2021-01-12,18.21,18.93,18.08,18.93,22738800
2021-01-13,19.05,19.16,18.71,18.84,16131800
2021-01-14,18.84,18.84,18.48,18.74,17527000
2021-01-15,18.67,18.99,18.67,18.76,14788300
2021-01-18,18.76,18.9,18.65,18.8,18112900
2021-01-19,18.8,18.8,17.49,17.53,25778200
2021-01-20,17.7,18.1,16.86,17.58,37915600
2021-01-21,18.06,18.63,17.62,18.63,20829700
2021-01-22,18.67,18.84,18.36,18.4,14798600
2021-01-25,18.23,19.16,18.17,18.42,33091200
2021-01-26,18.38,18.38,17.53,17.83,24099500
2021-01-27,17.45,17.87,16.65,16.99,28056100
2021-01-28,15.85,16.46,15.81,15.81,49934800
2021-01-29,15.6,16.84,15.6,16.5,40248000
2021-02-01,16.44,16.8,16.1,16.16,21323900
2021-02-02,16.23,17.07,16.12,17.07,28541100
2021-02-03,17.37,17.85,17.28,17.7,34839600
2021-02-04,17.7,17.79,17.51,17.62,22252900
2021-02-05,17.68,18.0,17.58,17.91,23371200
2021-02-08,17.91,17.96,16.86,17.24,32918400
2021-02-09,17.24,17.66,17.05,17.62,26164800
2021-02-17,17.89,18.31,17.83,18.31,24253200
2021-02-18,18.29,18.55,18.1,18.48,21343800
2021-02-19,18.25,18.5,18.17,18.31,17007500
2021-02-22,18.31,18.71,18.12,18.29,21362500
2021-02-23,18.21,18.44,18.1,18.25,17921700
2021-02-24,18.4,18.71,18.25,18.38,27282600
2021-02-25,18.55,18.71,18.4,18.61,21931700
2021-02-26,18.42,19.26,18.38,19.22,40928500
2021-03-01,19.49,19.52,19.3,19.47,21998200
2021-03-02,19.73,19.85,19.47,19.68,23670800
2021-03-03,19.62,19.83,19.6,19.73,22262900
2021-03-04,19.77,19.77,18.97,19.35,27962100
2021-03-05,19.24,19.43,19.01,19.39,21396800
2021-03-08,19.64,19.77,19.39,19.52,17777700
2021-03-09,19.39,19.47,18.99,19.33,16289800
2021-03-10,19.33,19.33,19.03,19.22,15772500
2021-03-11,19.35,19.66,19.3,19.56,15569400
2021-03-12,19.64,19.64,19.47,19.58,12153700
2021-03-15,19.64,19.77,19.56,19.6,11905100
2021-03-16,19.64,19.64,19.3,19.43,14097300
2021-03-17,19.45,19.58,19.41,19.52,12191800
2021-03-18,19.68,19.71,19.54,19.64,11166600
2021-03-19,19.64,20.0,19.64,19.87,18392100
2021-03-22,19.94,20.0,19.68,19.71,11047900
2021-03-23,19.66,19.85,19.56,19.64,12487200
2021-03-24,19.41,19.54,19.01,19.16,23653500
2021-03-25,19.26,19.28,18.88,18.97,19929000
2021-03-26,19.18,19.47,18.99,19.47,28109800
2021-03-29,19.6,19.64,19.45,19.52,13251900
2021-03-30,19.6,19.71,19.43,19.58,13333800
2021-03-31,19.58,19.96,19.54,19.73,16323700
2021-04-01,19.81,20.44,19.79,20.44,27681900
2021-04-02,20.57,20.78,20.48,20.67,16678500
2021-04-05,20.86,20.91,20.63,20.78,15377800
2021-04-06,20.78,20.89,20.7,20.82,14033300
2021-04-07,20.82,20.91,20.61,20.84,14407800
2021-04-08,20.86,20.91,20.65,20.8,11970000
2021-04-09,20.78,21.03,20.67,20.89,15623400
2021-04-12,21.03,21.71,20.97,21.58,27010400
2021-04-13,21.71,21.71,21.12,21.12,26956900
2021-04-14,21.12,22.47,21.03,22.34,28753300
2021-04-15,22.55,23.06,22.13,22.97,32078100
2021-04-16,22.55,23.48,22.55,23.01,28433700
2021-04-19,23.27,24.36,23.06,24.36,34808100
2021-04-20,24.45,24.7,23.6,24.11,37829300
2021-04-22,23.81,24.4,23.18,23.18,33049800
2021-04-23,23.39,23.77,23.1,23.77,28493500
2021-04-26,23.81,23.86,23.18,23.22,25156400
2021-04-27,23.22,23.77,22.93,23.73,21294400
2021-04-28,23.73,23.81,23.39,23.6,15619100
2021-04-29,23.81,24.74,23.77,24.49,27877700
2021-05-04,24.15,25.46,24.03,25.21,32996000
2021-05-05,25.29,25.42,25.0,25.0,24468200
2021-05-06,25.0,25.42,24.78,25.04,21609700
