,Open,High,Low,Close,Volume
2020-12-28,5.52,5.52,5.35,5.39,7639610
2020-12-29,5.37,5.44,5.35,5.37,6375260
2020-12-30,5.37,5.44,5.35,5.37,5619740
2020-12-31,5.37,5.44,5.35,5.39,6396760
2021-01-04,5.46,5.52,5.44,5.5,8814700
2021-01-05,5.48,5.87,5.46,5.87,24349300
2021-01-06,6.09,6.18,5.94,6.09,16644800
2021-01-07,6.09,6.11,5.92,6.05,9246000
2021-01-08,6.05,6.2,5.98,6.11,19580100
2021-01-11,6.13,6.18,5.96,6.05,23446200
2021-01-12,6.0,6.02,5.89,5.96,13021500
2021-01-13,5.98,6.15,5.98,6.05,14249500
2021-01-14,6.09,6.26,6.02,6.26,14964800
2021-01-15,6.31,6.59,6.31,6.5,16530300
2021-01-18,6.57,6.61,6.42,6.42,13224100
2021-01-19,6.35,6.39,5.98,6.0,17853400
2021-01-20,6.0,6.07,5.59,6.0,15018300
2021-01-21,6.2,6.2,6.02,6.18,8957600
2021-01-22,6.2,6.29,6.15,6.24,15290300
2021-01-25,6.22,6.29,6.15,6.22,9574400
2021-01-26,6.18,6.18,5.87,6.02,10126700
2021-01-27,6.0,6.11,5.83,5.87,9796200
2021-01-28,5.48,5.63,5.48,5.48,12732500
2021-01-29,5.13,5.72,5.13,5.5,11086300
2021-02-01,5.42,5.55,5.2,5.22,8298100
2021-02-02,5.13,5.44,5.05,5.39,7866100
2021-02-03,5.52,5.76,5.39,5.76,9285600
2021-02-04,5.76,5.87,5.68,5.81,6158100
2021-02-05,5.79,6.09,5.79,6.09,8748700
2021-02-08,6.09,6.48,6.09,6.15,17862700
2021-02-09,6.2,6.44,6.2,6.39,11482300
2021-02-17,6.48,6.61,6.39,6.46,11925100
2021-02-18,6.46,6.5,6.35,6.37,8353900
2021-02-19,6.31,6.57,6.29,6.39,12657400
2021-02-22,6.42,6.48,6.33,6.39,15463000
2021-02-23,6.39,6.42,6.29,6.35,14798200
2021-02-24,6.35,6.42,6.22,6.22,13175700
2021-02-25,6.26,6.37,6.22,6.35,10131400
2021-02-26,6.26,6.44,6.22,6.39,9315300
2021-03-01,6.48,6.83,6.48,6.83,36421300
2021-03-02,7.05,7.13,6.85,7.0,13665000
2021-03-03,6.96,7.05,6.89,6.94,9087400
2021-03-04,6.94,7.0,6.57,6.74,17022800
2021-03-05,6.63,6.92,6.59,6.85,11077600
2021-03-08,6.96,6.96,6.79,6.83,8146600
2021-03-09,6.74,6.94,6.68,6.83,8925400
2021-03-10,6.83,7.07,6.81,6.94,12470100
2021-03-11,6.98,7.05,6.92,6.98,8092200
2021-03-12,7.0,7.22,6.98,7.18,19801800
2021-03-15,7.18,7.2,7.07,7.11,7894300
2021-03-16,7.11,7.13,6.94,7.02,9225100
2021-03-17,7.02,7.11,6.98,7.07,8451500
