,Open,High,Low,Close,Volume
2020-12-30,7.66,7.74,7.66,7.66,12801190
2020-12-31,7.71,7.72,7.67,7.69,14034660
2021-01-04,7.82,8.14,7.72,8.01,42370800
2021-01-05,8.07,8.41,8.01,8.41,34044900
2021-01-06,8.53,8.69,8.36,8.46,22063300
2021-01-07,8.53,8.68,8.44,8.66,18918200
2021-01-08,8.76,9.14,8.69,8.89,25861800
2021-01-11,9.03,9.09,8.76,8.81,23381600
2021-01-12,8.81,8.86,8.59,8.74,16552100
2021-01-13,8.74,8.89,8.66,8.69,18649800
2021-01-14,8.79,8.83,8.64,8.83,20138800
2021-01-15,8.99,9.09,8.88,8.94,19922700
2021-01-18,8.94,8.98,8.76,8.76,13838300
2021-01-19,8.76,8.76,8.16,8.16,22184900
2021-01-20,8.16,8.27,7.66,8.16,23198100
2021-01-21,8.36,8.63,8.16,8.63,14714600
2021-01-22,8.59,8.68,8.46,8.56,12400500
2021-01-25,8.49,8.63,8.41,8.43,10924900
2021-01-26,8.41,8.56,7.94,8.56,19797100
2021-01-27,8.29,8.44,7.97,8.02,22798000
2021-01-28,7.52,7.69,7.47,7.47,20362200
2021-01-29,7.12,7.86,7.12,7.84,19607700
2021-02-01,7.69,7.86,7.34,7.36,16163000
2021-02-02,7.56,7.82,7.34,7.81,14396700
2021-02-03,7.92,8.14,7.82,8.11,19837900
2021-02-04,8.12,8.14,7.96,8.04,11089600
2021-02-05,8.09,8.29,8.04,8.27,11885000
2021-02-08,8.29,8.43,7.97,7.99,22263700
2021-02-09,8.02,8.27,7.96,8.27,15933800
2021-02-17,8.41,8.63,8.36,8.63,18470000
2021-02-18,8.69,8.79,8.56,8.76,23346000
2021-02-19,8.66,9.16,8.63,8.98,30003300
2021-02-22,8.98,9.08,8.79,8.93,19791100
2021-02-23,8.94,9.19,8.89,9.16,31587900
2021-02-24,9.24,9.29,8.99,9.03,19888900
2021-02-25,9.13,9.18,8.98,9.13,17887600
2021-02-26,8.96,9.29,8.93,9.24,22352200
2021-03-01,9.38,9.51,9.33,9.48,22065400
2021-03-02,9.58,9.6,9.36,9.4,14005100
2021-03-03,9.36,9.5,9.33,9.36,16468900
