,Open,High,Low,Close,Volume
2020-12-28,67.97,68.13,67.23,67.48,553150
2020-12-29,68.79,68.79,67.97,68.13,1440210
2020-12-30,68.7,68.95,67.64,68.38,959720
2020-12-31,67.97,72.96,67.97,72.8,3806160
2021-01-04,74.52,74.52,72.8,72.8,1915700
2021-01-05,72.88,73.7,72.14,73.13,1274800
2021-01-06,73.13,74.52,72.06,72.31,2344400
2021-01-07,72.31,75.75,72.31,75.34,3028500
2021-01-08,76.16,77.3,75.34,76.24,2639600
2021-01-11,76.32,78.2,76.32,77.06,2553900
2021-01-12,77.06,77.22,76.24,76.97,1830900
2021-01-13,77.14,77.22,75.91,76.4,2553600
2021-01-14,76.32,76.4,75.09,75.58,1447400
2021-01-15,76.16,76.48,75.75,76.16,2144900
2021-01-18,77.79,80.33,77.71,77.87,3740700
2021-01-19,78.45,78.45,72.47,74.44,2416600
2021-01-20,74.93,75.17,70.42,74.44,2314800
2021-01-21,74.93,75.42,73.21,74.93,2180900
2021-01-22,75.34,77.96,74.52,76.4,3060300
2021-01-25,77.79,80.25,76.97,79.43,3869900
2021-01-26,80.41,80.41,74.76,78.2,2475200
2021-01-27,77.38,77.63,73.86,75.09,2243700
2021-01-28,69.85,73.21,69.85,69.85,3816800
2021-01-29,65.92,74.52,65.92,70.01,2838500
2021-02-01,70.34,72.31,66.33,67.15,1792200
2021-02-02,67.15,69.6,65.51,68.79,1927500
2021-02-03,70.01,72.88,70.01,72.8,1539300
2021-02-04,72.06,74.11,71.65,73.29,1415200
2021-02-05,73.29,73.7,72.96,73.37,1209500
2021-02-08,73.37,73.62,68.79,70.1,2260800
2021-02-09,70.42,73.37,69.69,72.63,1448200
2021-02-17,73.53,75.34,72.72,75.34,1142900
2021-02-18,75.34,78.61,74.52,77.87,2207200
2021-02-19,76.65,78.2,76.65,77.71,1419300
2021-02-22,77.71,77.87,76.81,77.47,1186200
2021-02-23,77.38,77.38,75.75,75.91,1592900
2021-02-24,76.97,76.97,74.11,74.52,1478100
2021-02-25,75.17,75.17,73.21,73.37,1571600
2021-02-26,72.55,74.03,72.47,73.94,1485300
2021-03-01,74.03,75.25,73.94,74.76,859200
2021-03-02,75.99,75.99,73.7,74.44,1027600
2021-03-03,74.44,74.52,73.7,74.11,803200
2021-03-04,74.52,74.52,71.65,72.39,1647600
2021-03-05,72.06,73.7,71.65,73.04,1141200
2021-03-08,74.03,74.03,71.24,71.57,1612700
2021-03-09,71.82,71.82,66.57,71.0,1166700
2021-03-10,71.0,71.24,69.85,71.24,817400
2021-03-11,71.9,72.39,71.16,71.49,878000
2021-03-12,72.06,72.14,71.41,71.49,872100
2021-03-15,72.06,73.04,71.49,72.47,1188500
2021-03-16,72.72,72.72,71.41,72.06,535200
2021-03-17,71.73,72.14,71.24,72.06,576400
2021-03-18,71.98,73.62,71.82,73.45,1222500
2021-03-19,72.88,73.21,70.83,72.63,1148800
2021-03-22,72.63,72.72,71.65,72.14,723300
2021-03-23,72.14,72.22,70.42,70.83,1022900
2021-03-24,69.77,70.83,69.6,69.69,869100
2021-03-25,70.01,70.42,68.79,70.42,1076400
2021-03-26,70.01,70.42,68.54,70.34,912800
2021-03-29,70.01,70.83,69.6,70.5,918800
2021-03-30,70.1,73.29,69.93,72.47,1443600
2021-03-31,72.47,76.16,72.47,75.75,3145400
2021-04-01,76.07,76.16,75.42,75.58,2037400
2021-04-02,76.16,76.4,75.58,75.91,2155300
2021-04-05,77.79,77.87,75.99,76.16,2571700
2021-04-06,76.16,76.32,74.76,75.25,1808000
2021-04-07,75.25,77.22,74.35,76.81,1957200
2021-04-08,77.38,77.38,75.66,76.16,1205800
2021-04-09,75.99,75.99,75.01,75.42,1062300
2021-04-12,75.42,75.75,74.85,75.25,1536200
2021-04-13,75.83,78.61,75.34,77.14,4864100
2021-04-14,77.47,82.46,76.73,82.46,6637200
2021-04-15,84.75,85.98,81.89,81.89,2903400
2021-04-16,84.75,83.12,77.96,81.97,3077700
2021-04-19,83.12,87.7,81.4,87.7,6460900
2021-04-20,87.7,91.3,85.24,86.39,4290600
2021-04-22,85.16,87.95,80.41,80.41,3474400
2021-04-23,80.41,83.12,78.61,81.89,5010500
2021-04-26,83.12,83.28,77.79,77.79,3744400
2021-04-27,77.79,80.74,76.65,80.25,2383000
2021-04-28,80.25,81.72,79.84,81.07,1830800
2021-04-29,81.23,81.4,79.43,80.25,1803600
2021-05-04,80.25,80.25,77.87,78.53,2322900
2021-05-05,78.53,80.99,78.45,78.61,1788700
