,Open,High,Low,Close,Volume
2020-12-30,47.21,47.72,46.86,47.21,456950
2020-12-31,46.95,47.29,46.86,46.95,566460
2021-01-04,47.29,48.07,46.95,47.21,1330000
2021-01-05,47.29,47.81,46.95,47.38,746800
2021-01-06,48.07,48.75,47.46,47.55,691800
2021-01-07,47.72,48.41,47.46,47.81,755500
2021-01-08,48.24,49.61,47.98,48.32,1314800
2021-01-11,49.79,50.3,48.93,49.27,1140700
2021-01-12,49.36,49.79,48.84,49.27,656300
2021-01-13,49.79,49.87,48.93,49.01,792700
2021-01-14,48.67,49.18,48.15,48.32,1187700
2021-01-15,48.32,48.67,47.55,48.15,1236000
2021-01-18,48.15,49.18,47.72,48.24,1240800
2021-01-19,48.58,48.58,45.14,45.57,805900
2021-01-20,45.74,46.43,44.71,45.83,1368100
2021-01-21,46.69,47.29,46.0,47.21,961300
2021-01-22,47.29,47.98,46.69,46.69,990800
2021-01-25,47.12,47.12,46.35,46.35,906400
2021-01-26,46.35,46.86,44.8,45.23,1198900
2021-01-27,45.23,45.49,43.51,43.6,1168700
2021-01-28,41.88,42.82,40.59,40.59,1593800
2021-01-29,39.12,43.42,39.12,42.13,734900
2021-02-01,42.13,42.99,41.36,41.7,693200
2021-02-02,41.7,43.08,41.45,42.74,1078600
2021-02-03,42.91,44.03,42.91,43.42,707800
2021-02-04,43.85,44.11,43.25,44.11,364700
2021-02-05,44.11,44.89,44.11,44.89,570400
2021-02-08,45.4,46.43,43.08,44.71,2088700
2021-02-09,44.28,45.66,43.68,45.57,1327100
2021-02-17,46.69,47.98,45.66,47.89,1271200
2021-02-18,48.07,48.41,47.72,48.24,1304600
2021-02-19,47.81,48.41,47.46,48.32,1466000
2021-02-22,48.32,49.87,48.24,49.18,2133700
2021-02-23,49.79,49.79,48.41,48.84,1314000
2021-02-24,49.87,49.87,48.41,49.27,1965900
2021-02-25,49.87,50.73,49.27,50.22,2473000
2021-02-26,49.01,50.04,49.01,50.04,1319300
2021-03-01,50.13,50.82,50.04,50.73,5292000
2021-03-02,51.16,51.25,50.3,50.39,3858000
2021-03-03,50.39,50.47,49.96,50.3,4286300
2021-03-04,50.3,50.65,48.15,49.7,4348500
2021-03-05,49.96,50.3,49.44,49.87,4894700
2021-03-08,50.9,50.9,49.79,50.22,3852200
2021-03-09,49.87,49.87,48.58,48.67,4097200
2021-03-10,48.58,48.67,47.81,47.98,4298000
2021-03-11,48.24,49.01,47.55,47.81,2905500
2021-03-12,48.32,48.58,47.81,47.81,2127200
2021-03-15,47.46,49.87,47.46,49.1,4551600
2021-03-16,49.01,49.87,48.32,49.7,4964600
2021-03-17,49.18,49.79,49.18,49.7,4739600
2021-03-18,49.7,49.79,49.44,49.61,3442900
2021-03-19,48.75,49.01,47.81,48.41,4493400
2021-03-22,48.41,48.84,48.15,48.15,963700
2021-03-23,48.15,49.53,47.98,49.18,1753800
2021-03-24,48.84,48.84,48.15,48.41,1694900
2021-03-25,48.24,48.58,47.98,48.32,889500
2021-03-26,48.07,48.15,45.57,48.07,1148200
2021-03-29,48.58,48.67,47.81,47.81,662600
2021-03-30,47.81,48.24,47.64,47.72,969300
2021-03-31,47.72,48.75,47.38,47.38,935900
2021-04-01,47.38,48.5,47.38,48.41,679900
2021-04-02,48.67,49.01,48.5,48.58,1046700
2021-04-05,49.44,49.44,47.81,48.07,1662400
2021-04-06,47.64,48.15,47.55,47.98,1105900
2021-04-07,47.72,47.98,47.55,47.98,1256900
2021-04-08,48.15,48.41,47.81,48.07,740900
2021-04-09,48.07,48.41,47.89,48.07,749700
2021-04-12,47.72,48.15,47.72,48.07,1616600
2021-04-13,48.15,48.24,47.21,47.21,1443600
2021-04-14,47.21,47.72,46.78,47.46,844600
2021-04-15,47.81,48.32,46.26,46.78,2122700
2021-04-16,47.81,46.95,44.71,45.4,1472100
2021-04-19,45.4,45.74,45.14,45.14,1408700
2021-04-20,45.57,46.43,45.14,45.49,1359900
2021-04-22,44.8,45.49,43.85,43.85,1485700
2021-04-23,43.85,44.2,43.34,43.85,2184900
2021-04-26,44.71,44.71,42.69,42.95,1127800
2021-04-27,42.95,42.99,41.79,41.79,2050800
2021-04-28,41.96,43.17,41.88,42.99,1396000
2021-04-29,43.42,43.51,42.65,43.25,1037100
2021-05-04,42.99,42.99,42.13,42.69,1098200
2021-05-05,43.42,44.89,43.17,43.77,1453500
2021-05-06,42.56,44.54,42.56,43.68,1035200
2021-05-07,43.51,43.77,43.08,43.6,1861800
2021-05-10,43.51,46.0,43.6,45.83,2939400
2021-05-11,46.0,46.17,45.57,45.57,1711900
