,Open,High,Low,Close,Volume
2020-12-30,6.86,6.94,6.74,6.78,10057500
2020-12-31,6.78,6.9,6.78,6.78,6334400
2021-01-04,6.82,6.9,6.78,6.86,12476000
2021-01-05,6.86,7.3,6.82,7.06,22059200
2021-01-06,7.06,7.26,7.02,7.1,19356500
2021-01-07,7.1,7.73,7.1,7.65,43447700
2021-01-08,7.61,7.77,7.53,7.61,28629500
2021-01-11,7.61,7.73,7.49,7.49,23354900
2021-01-12,7.53,7.57,7.3,7.49,34677400
2021-01-13,7.57,7.89,7.38,7.61,65763600
2021-01-14,7.65,7.77,7.53,7.61,24752400
2021-01-15,7.65,7.81,7.57,7.65,59199700
2021-01-18,7.77,7.77,7.38,7.42,37504200
2021-01-19,7.42,7.46,6.7,6.74,53107100
2021-01-20,6.78,7.1,6.14,7.06,43356400
2021-01-21,7.06,7.22,6.9,7.1,22060800
2021-01-22,7.1,7.14,6.86,6.94,22668300
2021-01-25,6.94,6.94,6.66,6.66,24076900
2021-01-26,6.66,6.7,6.06,6.54,44991500
2021-01-27,6.54,6.58,6.14,6.22,23193300
2021-01-28,6.14,6.18,5.62,5.62,24830300
2021-01-29,5.06,5.94,5.06,5.82,32324400
2021-02-01,5.78,5.9,5.38,5.38,19797100
2021-02-02,5.3,5.9,5.26,5.86,31633400
2021-02-03,5.86,6.3,5.86,6.18,26157700
2021-02-04,6.22,6.26,6.02,6.14,15713000
2021-02-05,6.14,6.42,6.06,6.42,29416400
2021-02-08,6.38,6.5,5.9,6.02,25765300
2021-02-09,5.98,6.26,5.9,6.18,12573600
2021-02-17,6.22,6.42,6.22,6.42,19509700
2021-02-18,6.5,6.5,6.26,6.3,19040800
2021-02-19,6.26,6.42,6.18,6.34,21633400
2021-02-22,6.38,6.42,6.26,6.26,16461100
2021-02-23,6.26,6.5,6.26,6.5,31072400
2021-02-24,6.5,6.58,6.26,6.38,23351000
2021-02-25,6.38,6.46,6.22,6.34,24986100
2021-02-26,6.3,6.34,6.18,6.34,28661000
2021-03-01,6.34,6.46,6.3,6.46,25486700
2021-03-02,6.5,6.58,6.38,6.42,23394700
2021-03-03,6.42,6.46,6.34,6.42,18925100
2021-03-04,6.42,6.46,6.22,6.3,26950300
2021-03-05,6.3,6.38,6.18,6.3,20149300
2021-03-08,6.34,6.42,6.3,6.3,16095800
2021-03-09,6.34,6.34,6.22,6.26,15174800
2021-03-10,6.26,6.5,6.22,6.5,28893600
2021-03-11,6.58,6.94,6.5,6.9,58161900
2021-03-12,6.9,7.14,6.82,7.06,49116700
2021-03-15,7.1,7.34,7.06,7.1,41311400
2021-03-16,7.1,7.49,6.98,7.46,63261800
2021-03-17,7.38,7.57,7.38,7.53,44960000
2021-03-18,7.49,8.01,7.49,7.77,62466100
2021-03-19,7.77,7.85,7.53,7.81,30976100
2021-03-22,7.81,8.01,7.65,7.65,24946700
2021-03-23,7.65,7.89,7.3,7.49,36740700
2021-03-24,7.46,7.49,6.98,7.18,25707500
2021-03-25,7.18,7.3,7.1,7.1,12542300
2021-03-26,7.1,7.77,6.82,7.77,79870200
2021-03-29,7.77,8.53,7.77,8.53,55776300
2021-03-30,8.49,9.37,8.49,9.37,44814800
2021-03-31,9.37,10.29,8.97,10.25,59679100
2021-04-01,10.25,11.08,9.69,10.76,29995800
2021-04-02,10.72,11.36,10.45,10.76,46521500
2021-04-05,10.64,10.72,9.69,9.69,14663200
2021-04-06,9.69,9.97,9.21,9.89,24991500
2021-04-07,9.89,10.01,9.89,9.97,12983700
2021-04-08,9.97,10.13,9.89,10.05,18079000
2021-04-09,10.05,10.13,9.85,10.09,23785000
2021-04-12,10.13,10.17,10.01,10.13,13118200
2021-04-13,10.13,10.41,10.05,10.13,28570600
2021-04-14,10.13,10.29,10.09,10.25,17677800
2021-04-15,10.33,10.52,10.13,10.37,20873100
2021-04-16,10.37,10.52,9.77,10.29,22364000
2021-04-19,10.33,10.68,10.25,10.68,29843700
2021-04-20,10.8,10.96,10.64,10.96,30445300
2021-04-22,10.96,11.24,10.84,11.04,29904900
2021-04-23,10.96,11.0,10.33,10.76,16727600
2021-04-26,10.76,11.12,10.45,10.8,21030600
2021-04-27,10.8,10.84,10.6,10.84,13578700
2021-04-28,10.88,11.0,10.68,10.92,16570700
2021-04-29,10.88,10.92,10.76,10.92,14634800
2021-05-04,10.76,10.84,10.48,10.48,14027600
2021-05-05,10.68,10.68,10.37,10.52,18580200
2021-05-06,11.58,11.58,10.7,10.74,17943100
2021-05-07,10.79,10.79,10.09,10.74,21935500
2021-05-10,10.74,10.88,10.44,10.52,14041700
2021-05-11,10.52,10.7,10.22,10.31,18387200
2021-05-12,10.31,10.44,10.09,10.39,17570600
2021-05-13,10.39,11.4,10.39,11.4,28467800
2021-05-14,11.53,12.54,11.4,12.54,42050800
2021-05-17,12.54,13.68,12.41,13.02,40152600
2021-05-18,12.89,13.02,12.32,12.85,24264700
2021-05-19,12.81,12.94,12.54,12.89,26021600
2021-05-20,12.81,12.94,12.72,12.72,14642500
2021-05-21,12.72,13.11,12.59,12.76,27586400
2021-05-24,12.94,12.94,12.45,12.81,18249300
2021-05-25,12.81,12.89,12.59,12.89,17542500
2021-05-26,12.85,13.33,12.81,13.16,39392300
2021-05-27,13.2,13.29,12.85,12.94,22300300
2021-05-28,13.07,13.59,12.81,13.24,44348200
2021-05-31,13.24,13.55,13.11,13.33,40917600
