,Open,High,Low,Close,Volume
2020-12-28,12.84,13.07,12.6,12.96,12578470
2020-12-29,12.76,13.03,12.6,12.84,11912020
2020-12-30,12.72,12.94,12.56,12.76,10530310
2020-12-31,12.76,13.55,12.74,13.41,9645420
2021-01-04,13.98,14.02,13.69,13.69,9011500
2021-01-05,13.47,13.82,13.41,13.67,8624800
2021-01-06,13.86,14.16,13.37,13.78,10370000
2021-01-07,13.98,14.02,13.59,13.94,13783700
2021-01-08,14.14,14.14,13.59,13.84,11401100
2021-01-11,13.82,13.86,13.39,13.59,13473300
2021-01-12,13.45,13.98,13.17,13.82,16390400
2021-01-13,13.98,13.98,13.53,13.57,9755200
2021-01-14,13.57,14.5,13.37,14.32,22844000
2021-01-15,14.5,15.09,14.36,14.97,14649600
2021-01-18,14.97,14.97,14.61,14.71,11612500
2021-01-19,14.5,14.73,13.69,13.69,19694000
2021-01-20,13.86,13.98,12.78,13.49,14483300
2021-01-21,13.53,14.18,13.37,14.0,13084500
2021-01-22,13.9,14.06,13.53,13.67,11501200
2021-01-25,13.45,14.0,13.33,13.65,12151400
2021-01-26,13.55,13.61,12.8,12.96,10631800
2021-01-27,12.6,12.96,12.07,12.07,14058600
2021-01-28,11.24,11.45,11.24,11.24,18067700
2021-01-29,10.53,12.01,10.53,11.67,14006900
2021-02-01,11.67,11.95,10.86,10.86,15664500
2021-02-02,10.82,11.34,10.41,11.26,11603300
2021-02-03,11.55,12.03,11.34,12.03,14370500
2021-02-04,12.03,12.4,11.83,12.03,12070400
2021-02-05,12.07,12.76,12.05,12.76,12415200
2021-02-08,12.88,13.27,11.99,12.4,21430000
2021-02-09,12.48,12.92,11.99,12.86,15890800
2021-02-17,13.17,13.61,13.05,13.59,11244000
2021-02-18,13.57,13.67,13.27,13.49,14644800
2021-02-19,13.25,13.61,13.25,13.43,11921100
2021-02-22,13.43,13.67,13.25,13.31,13412000
2021-02-23,13.35,13.75,13.23,13.61,15568700
2021-02-24,13.9,13.96,13.37,13.55,14635500
2021-02-25,13.65,13.67,13.33,13.55,11141000
2021-02-26,13.25,13.53,13.21,13.45,13946600
2021-03-01,13.61,14.22,13.49,14.18,19294900
2021-03-02,14.38,14.38,14.04,14.2,12530900
2021-03-03,14.08,14.22,14.02,14.12,9827100
2021-03-04,14.16,14.16,13.37,13.55,15631000
2021-03-05,13.37,13.55,13.17,13.55,14142300
2021-03-08,13.84,13.96,13.51,13.59,10821800
2021-03-09,13.49,13.59,13.27,13.39,10483300
2021-03-10,13.29,13.47,13.09,13.41,10935600
2021-03-11,13.61,13.9,13.49,13.75,10817400
2021-03-12,13.75,13.82,13.53,13.57,6189600
2021-03-15,13.57,13.65,13.45,13.45,7094400
2021-03-16,13.45,13.45,13.13,13.25,12975900
2021-03-17,13.15,13.33,13.11,13.21,7522500
2021-03-18,13.45,13.57,13.37,13.49,7073300
2021-03-19,13.41,13.78,13.41,13.49,11156300
2021-03-22,13.61,13.67,13.45,13.53,7606900
2021-03-23,13.53,13.53,13.19,13.33,8829200
2021-03-24,13.09,13.27,12.56,12.68,13279700
2021-03-25,12.76,12.86,12.44,12.48,13265200
2021-03-26,12.42,12.6,11.91,12.52,10140300
2021-03-29,12.68,12.74,12.56,12.72,5694300
2021-03-30,12.92,12.92,12.64,12.88,7282100
2021-03-31,12.84,13.03,12.82,12.86,7641900
2021-04-01,12.88,13.75,12.86,13.75,21897600
2021-04-02,14.14,14.16,13.8,13.9,13802300
2021-04-05,14.18,14.38,13.94,14.18,18659500
2021-04-06,13.98,14.3,13.98,14.18,15886800
2021-04-07,14.18,14.38,14.1,14.32,13001600
2021-04-08,14.46,14.46,14.16,14.26,10999100
2021-04-09,14.22,14.46,14.18,14.28,11376200
2021-04-12,14.42,14.93,14.26,14.79,16962300
2021-04-13,14.95,14.95,14.24,14.42,17662700
2021-04-14,14.26,14.67,14.18,14.57,16502500
2021-04-15,14.57,14.57,14.06,14.12,18715900
2021-04-16,14.57,14.2,13.49,13.78,18210800
2021-04-19,13.98,14.1,13.69,14.1,11875700
2021-04-20,14.38,14.4,13.73,13.82,14901200
2021-04-22,13.61,13.78,12.86,12.86,14783000
2021-04-23,12.96,13.37,12.78,13.37,14676900
2021-04-26,13.37,13.41,12.8,12.84,9931300
2021-04-27,12.84,12.96,12.62,12.88,5350000
2021-04-28,12.88,13.19,12.84,13.01,8752800
2021-04-29,13.01,13.37,13.01,13.21,9170100
2021-05-04,12.88,13.33,12.8,13.33,9998200
2021-05-05,13.41,13.86,13.35,13.61,12386200
2021-05-06,13.57,13.75,13.27,13.31,10716100
2021-05-07,13.17,13.57,13.13,13.25,9370400
2021-05-10,13.17,14.14,13.09,14.06,22718700
2021-05-11,14.18,14.3,13.86,13.86,16042700
2021-05-12,13.78,14.12,13.78,14.1,10131500
