,Open,High,Low,Close,Volume
2020-12-28,17.05,17.1,16.55,16.75,23669440
2020-12-29,16.75,16.9,16.6,16.7,13078710
2020-12-30,17.0,17.25,16.8,16.8,35805500
2020-12-31,17.0,17.0,16.75,16.9,14969830
2021-01-04,17.05,17.7,16.9,17.55,46809600
2021-01-05,17.55,17.95,17.45,17.7,23399500
2021-01-06,17.9,18.35,17.7,18.0,31193600
2021-01-07,18.05,18.45,17.85,18.45,39683500
2021-01-08,18.8,19.5,18.65,19.4,34889200
2021-01-11,20.0,20.4,19.8,20.1,33493100
2021-01-12,19.9,20.05,19.5,19.8,27236800
2021-01-13,19.8,20.05,19.4,19.5,26650000
2021-01-14,19.65,20.25,19.0,20.1,27462300
2021-01-15,20.5,21.5,20.5,21.1,51692600
2021-01-18,21.7,21.7,20.25,20.6,59659200
2021-01-19,20.35,20.45,19.2,19.2,45045700
2021-01-20,19.4,19.6,17.95,19.0,34426700
2021-01-21,19.4,20.0,18.85,20.0,34477100
2021-01-22,20.0,20.2,19.7,19.95,29967400
2021-01-25,19.7,19.9,19.35,19.35,28071700
2021-01-26,19.3,19.3,18.05,18.1,32302200
2021-01-27,17.8,18.65,17.0,17.25,32158500
2021-01-28,16.15,16.95,16.05,16.05,45050900
2021-01-29,15.5,17.15,15.5,16.9,31230400
2021-02-01,17.0,17.45,16.1,16.1,23123900
2021-02-02,16.4,17.2,16.0,17.15,20756400
2021-02-03,17.35,18.2,17.15,18.0,27109800
2021-02-04,17.9,18.15,17.55,17.6,18651000
2021-02-05,17.65,18.3,17.6,18.3,18060300
2021-02-08,18.3,18.45,17.1,17.4,24037300
2021-02-09,17.5,18.2,17.1,18.15,18229600
2021-02-17,18.3,18.8,18.2,18.75,21031200
2021-02-18,18.7,18.8,18.45,18.6,22503900
2021-02-19,18.4,19.0,18.25,18.7,22590900
2021-02-22,18.8,19.2,18.55,18.6,25991000
2021-02-23,18.65,19.0,18.5,18.8,24897200
2021-02-24,18.95,19.15,18.3,18.35,24698800
2021-02-25,18.6,18.65,18.2,18.5,18339100
2021-02-26,18.25,18.55,18.2,18.35,17421100
2021-03-01,18.6,19.15,18.5,19.1,35781100
2021-03-02,19.6,19.6,19.05,19.15,21137900
2021-03-03,19.15,19.3,19.0,19.0,16624600
2021-03-04,19.05,19.15,18.3,18.35,23543500
2021-03-05,18.35,18.85,18.15,18.7,24861800
2021-03-08,19.0,19.15,18.5,18.6,13653100
2021-03-09,18.5,18.7,18.3,18.55,14770300
2021-03-10,18.65,18.9,18.4,18.7,18970000
2021-03-11,19.0,19.35,18.85,19.3,34594300
2021-03-12,19.4,19.5,19.0,19.2,19941500
2021-03-15,19.2,19.35,18.9,18.9,22954100
2021-03-16,18.95,19.15,18.75,18.9,23799400
2021-03-17,19.0,19.75,19.0,19.6,38324900
2021-03-18,19.85,19.95,19.6,19.7,19877400
2021-03-19,19.6,19.9,19.55,19.6,24328900
2021-03-22,19.7,19.7,19.15,19.2,32816300
2021-03-23,19.2,19.2,18.75,18.8,25297500
2021-03-24,18.55,18.85,18.3,18.4,22973200
2021-03-25,18.6,19.05,18.45,18.75,28724300
2021-03-26,18.75,19.1,18.3,18.95,23365100
2021-03-29,19.05,19.25,18.9,19.2,36995400
2021-03-30,19.25,20.5,19.0,20.5,99978500
2021-03-31,21.45,21.9,21.25,21.45,56674000
2021-04-01,21.4,21.65,21.1,21.6,33202800
2021-04-02,21.9,22.95,21.8,22.6,56039200
2021-04-05,23.0,23.3,22.6,23.15,46163800
2021-04-06,22.6,23.2,22.6,22.75,42374000
2021-04-07,22.3,22.6,22.1,22.3,51625800
2021-04-08,22.5,22.6,22.0,22.2,26665400
2021-04-09,22.2,22.9,22.2,22.7,25317200
2021-04-12,23.0,23.85,22.75,23.45,49313400
2021-04-13,23.45,23.55,22.6,22.7,46627800
2021-04-14,22.5,22.95,22.2,22.9,35105800
2021-04-15,23.0,23.0,22.2,22.35,36947400
2021-04-16,23.0,22.8,21.8,22.1,41485000
2021-04-19,22.3,22.9,22.0,22.9,29032100
2021-04-20,23.0,23.15,22.3,22.5,29744900
2021-04-22,22.5,22.6,21.0,21.0,35450900
2021-04-23,21.3,22.45,20.9,22.45,45227000
2021-04-26,22.9,23.2,22.45,22.55,41629500
2021-04-27,22.55,23.25,22.3,23.1,47546500
2021-04-28,23.1,24.35,22.9,24.2,71125700
2021-04-29,24.25,24.6,23.85,23.9,38893400
2021-05-04,23.3,24.2,23.15,24.1,54307900
2021-05-05,24.15,25.1,24.05,24.7,51677300
2021-05-06,24.55,24.9,24.3,24.4,34269000
2021-05-07,24.25,24.55,23.8,24.0,48458300
2021-05-10,24.25,24.5,23.7,24.3,41488900
2021-05-11,24.45,25.45,24.45,24.65,58012000
2021-05-12,24.85,26.35,24.8,26.35,59475300
2021-05-13,26.05,27.15,26.05,26.3,47105300
2021-05-14,26.6,26.85,26.15,26.4,32742600
2021-05-17,26.5,26.7,25.85,25.95,39752100
2021-05-18,25.9,27.4,25.65,27.3,44745200
2021-05-19,27.3,28.7,27.3,28.5,46484200
2021-05-20,28.45,29.55,28.1,29.4,57268100
2021-05-21,29.25,29.8,28.8,28.85,45792800
2021-05-24,28.85,29.25,28.8,28.9,31595200
2021-05-25,28.95,29.75,28.9,29.35,24123100
2021-05-26,29.6,29.8,29.35,29.5,31489600
2021-05-27,29.55,30.3,29.0,29.8,46751500
2021-05-28,30.4,31.85,30.0,31.85,73839900
2021-05-31,32.15,33.9,31.9,33.8,42128800
2021-06-01,33.5,33.55,32.35,32.4,47063500
2021-06-02,31.6,32.4,31.2,32.2,51657300
2021-06-03,33.2,33.2,32.2,32.75,30950700
2021-06-04,32.2,33.0,31.8,32.15,37481900
2021-06-07,31.8,32.0,30.0,30.7,38824700
2021-06-08,30.2,31.3,28.6,28.6,47297600
2021-06-09,28.5,30.35,28.0,29.6,37519500
2021-06-10,29.6,30.05,28.8,28.9,23976800
2021-06-11,29.1,30.8,28.8,30.5,36442200
2021-06-14,30.7,31.3,30.4,30.8,26889200
