,Open,High,Low,Close,Volume
2020-12-28,14.12,14.31,13.94,14.03,14471300
2020-12-29,14.01,14.12,13.94,14.05,12909770
2020-12-30,14.08,14.43,14.03,14.12,16579440
2020-12-31,14.15,15.0,14.12,14.88,16486510
2021-01-04,15.12,15.78,15.07,15.59,18607800
2021-01-05,15.47,15.75,15.38,15.61,14280100
2021-01-06,15.68,16.11,15.57,15.68,20222300
2021-01-07,15.94,16.34,15.78,16.34,16387200
2021-01-08,16.53,17.12,16.49,16.86,16947900
2021-01-11,16.89,17.12,16.63,16.65,13980300
2021-01-12,16.53,16.77,16.3,16.58,16418200
2021-01-13,16.75,17.01,16.58,16.6,11399600
2021-01-14,16.7,16.91,16.46,16.89,11995200
2021-01-15,17.15,17.74,17.12,17.41,17357400
2021-01-18,17.57,17.57,16.96,17.1,13377400
2021-01-19,16.96,17.19,15.92,16.01,22796500
2021-01-20,16.16,16.42,15.12,16.3,25772300
2021-01-21,16.65,17.1,16.3,17.1,14253300
2021-01-22,17.22,17.43,16.91,17.15,12347400
2021-01-25,16.89,17.17,16.82,16.91,15639600
2021-01-26,16.77,16.91,15.83,16.53,18111400
2021-01-27,16.18,16.65,15.42,15.83,18775400
2021-01-28,14.88,15.59,14.74,14.74,27121100
2021-01-29,13.98,15.75,13.98,15.12,27420900
2021-02-01,15.12,15.83,14.9,15.21,15146700
2021-02-02,15.21,16.11,15.09,16.06,13498900
2021-02-03,16.3,16.77,16.06,16.53,18238700
2021-02-04,16.53,16.82,16.34,16.53,14141400
2021-02-05,16.68,17.15,16.58,17.15,14358200
2021-02-08,17.15,17.24,16.06,16.53,21272800
2021-02-09,16.63,17.19,16.39,17.01,16738000
2021-02-17,17.43,18.14,17.24,18.14,21134000
2021-02-18,18.19,18.52,17.95,18.38,15791300
2021-02-19,18.05,18.47,18.05,18.28,12801300
2021-02-22,18.26,18.35,17.95,18.23,14466800
2021-02-23,18.33,19.06,18.33,18.8,26384200
2021-02-24,18.99,18.99,18.38,18.47,14395400
2021-02-25,18.66,18.66,18.19,18.47,16440500
2021-02-26,18.09,18.59,18.09,18.54,15265000
2021-03-01,18.75,19.01,18.56,18.99,12622200
2021-03-02,19.23,19.25,18.9,19.04,8576800
2021-03-03,19.06,19.13,18.9,19.06,8441900
2021-03-04,19.08,19.13,18.23,18.45,16228300
2021-03-05,18.38,18.59,18.09,18.52,11169600
2021-03-08,18.66,18.75,18.19,18.35,10807100
2021-03-09,18.23,18.56,18.05,18.4,10594100
2021-03-10,18.42,18.61,18.19,18.56,9050000
2021-03-11,18.75,19.13,18.64,18.97,15369300
2021-03-12,19.08,19.13,18.78,18.92,8046800
2021-03-15,18.99,19.13,18.85,18.94,8638500
2021-03-16,18.94,18.99,18.56,18.82,11577300
2021-03-17,18.9,19.08,18.75,19.04,9542800
2021-03-18,19.46,19.82,19.23,19.82,16410100
2021-03-19,19.6,19.91,19.6,19.84,7413700
2021-03-22,19.84,19.84,19.44,19.51,10554500
2021-03-23,19.42,19.56,19.08,19.11,12997700
2021-03-24,18.8,19.11,18.56,18.56,13792100
2021-03-25,18.61,18.8,18.52,18.59,10420800
2021-03-26,18.49,18.73,18.14,18.61,10188400
2021-03-29,18.75,18.78,18.49,18.68,8380600
2021-03-30,18.75,19.08,18.64,18.92,10768300
2021-03-31,18.99,19.34,18.92,19.08,10304100
2021-04-01,19.13,19.37,19.01,19.37,11065800
2021-04-02,19.65,19.75,19.46,19.49,8261300
2021-04-05,19.7,19.75,19.44,19.6,11025600
2021-04-06,19.58,20.08,19.42,19.93,14957000
2021-04-07,19.84,20.1,19.75,19.93,7728400
2021-04-08,20.03,20.05,19.7,19.82,7518800
2021-04-09,19.7,19.84,19.6,19.65,8022500
2021-04-12,19.84,19.98,19.65,19.91,14990200
2021-04-13,20.08,20.08,19.6,19.65,15104100
2021-04-14,19.42,19.82,19.32,19.75,9753300
2021-04-15,19.82,19.82,19.32,19.32,14745100
2021-04-16,19.82,19.46,18.71,19.11,15488700
2021-04-19,19.27,19.7,18.9,19.65,11234400
2021-04-20,19.63,19.79,19.27,19.44,11225000
2021-04-22,19.23,19.42,18.75,18.75,8352800
2021-04-23,18.78,19.16,18.47,19.13,10600700
2021-04-26,19.13,19.27,18.64,18.64,12155400
2021-04-27,18.64,18.94,18.59,18.66,7370000
2021-04-28,18.66,19.08,18.66,18.87,6065200
2021-04-29,18.92,19.72,18.87,19.37,17966700
2021-05-04,19.04,20.5,18.94,20.5,31749800
2021-05-05,20.97,21.92,20.95,21.71,28214800
2021-05-06,21.3,22.41,21.28,22.25,26766000
2021-05-07,22.11,22.58,21.92,22.23,22027500
2021-05-10,22.11,22.86,22.06,22.72,19611400
2021-05-11,22.72,22.79,22.2,22.2,16021800
2021-05-12,22.06,23.27,22.06,23.27,23553400
2021-05-13,23.12,23.55,22.67,22.67,18045200
2021-05-14,23.1,23.12,22.75,22.98,13905300
2021-05-17,23.03,23.19,22.49,22.6,17123600
2021-05-18,22.53,23.1,22.46,22.84,16910000
2021-05-19,22.86,23.71,22.86,23.67,17467900
2021-05-20,23.95,24.0,23.57,23.71,13171300
2021-05-21,23.62,24.42,23.55,24.0,18850300
2021-05-24,23.95,24.19,23.81,24.04,14666700
2021-05-25,24.19,24.61,24.19,24.38,10560300
2021-05-26,24.38,25.04,24.19,24.94,16505900
2021-05-27,25.13,25.27,24.0,24.28,15941600
2021-05-28,24.42,25.18,24.19,25.04,20002700
2021-05-31,25.13,25.37,24.66,25.37,17054600
2021-06-01,25.56,25.65,25.04,25.08,12358200
2021-06-02,24.99,25.18,24.47,24.94,24560900
2021-06-03,25.18,26.03,24.94,25.89,23735700
2021-06-04,25.89,26.08,25.51,25.79,13371600
2021-06-07,25.04,25.7,24.09,24.75,20392100
2021-06-08,24.71,24.99,23.15,23.38,25295000
2021-06-09,23.48,24.14,23.15,24.0,22397000
2021-06-10,24.0,24.19,23.62,23.67,10935100
2021-06-11,23.86,25.13,23.67,24.85,29600800
2021-06-14,24.89,25.18,24.56,24.89,16827800
2021-06-15,24.85,25.13,24.56,24.71,19611800
2021-06-16,24.33,24.66,23.86,23.95,20575900
2021-06-17,23.38,24.0,23.38,23.71,18677800
2021-06-18,24.09,24.28,23.9,24.09,9956600
2021-06-21,23.86,24.09,23.62,23.81,14920700
2021-06-22,24.0,24.23,23.76,24.04,17224200
2021-06-23,24.04,24.61,23.9,24.14,13102300
2021-06-24,24.23,24.42,23.9,24.04,10692100
2021-06-25,24.09,24.38,23.81,24.38,10947700
2021-06-28,24.8,25.51,24.66,25.32,25721100
2021-06-29,25.32,25.41,24.94,25.27,16059200
2021-06-30,25.23,25.41,24.85,24.89,11461700
2021-07-01,24.99,25.27,24.61,25.18,19326700
2021-07-02,25.6,25.93,25.32,25.65,29377200
2021-07-05,25.89,27.45,25.41,27.4,47547200
