,Open,High,Low,Close,Volume
2020-12-30,9.15,9.32,9.08,9.17,1910680
2020-12-31,9.25,9.3,9.1,9.25,1784030
2021-01-04,9.54,9.63,9.39,9.6,3721100
2021-01-05,9.63,9.73,9.53,9.58,2719500
2021-01-06,9.65,9.91,9.53,9.67,3750900
2021-01-07,9.67,9.91,9.6,9.79,3874900
2021-01-08,9.84,9.92,9.7,9.84,4106300
2021-01-11,9.84,9.92,9.67,9.73,3098700
2021-01-12,9.79,9.79,9.42,9.67,2537300
2021-01-13,9.67,9.73,9.51,9.53,4604600
2021-01-14,9.53,9.6,9.41,9.54,2198600
2021-01-15,9.67,10.15,9.63,9.91,8547500
2021-01-18,10.18,10.18,9.91,9.94,4421500
2021-01-19,10.01,10.1,9.25,9.65,4912800
2021-01-20,9.67,9.77,8.98,9.63,3656500
2021-01-21,9.67,9.98,9.53,9.84,3197000
2021-01-22,9.77,9.84,9.54,9.56,2745500
2021-01-25,9.56,9.58,9.39,9.42,1988200
2021-01-26,9.39,9.42,8.98,9.22,2712200
2021-01-27,8.98,9.18,8.6,8.66,2839900
2021-01-28,8.06,8.39,8.06,8.06,4594000
2021-01-29,7.59,8.61,7.59,8.61,3775400
2021-02-01,8.77,8.96,8.27,8.41,1379600
2021-02-02,8.41,8.8,8.28,8.73,1646100
2021-02-03,8.91,9.34,8.84,9.25,1899400
2021-02-04,9.29,9.29,8.8,9.15,1119000
2021-02-05,9.04,9.37,9.04,9.22,1117600
2021-02-08,9.22,9.29,8.63,9.04,2133900
2021-02-09,9.11,9.32,8.94,9.27,1529600
2021-02-17,9.32,9.56,9.29,9.56,1709300
2021-02-18,9.6,9.61,9.46,9.61,1481100
2021-02-19,9.56,9.63,9.49,9.56,1768000
2021-02-22,9.65,9.87,9.58,9.63,3988300
2021-02-23,9.68,9.7,9.53,9.65,2963500
2021-02-24,9.67,9.7,9.25,9.46,1909800
2021-02-25,9.49,9.49,9.32,9.44,1739500
2021-02-26,9.32,9.56,9.29,9.51,1406800
2021-03-01,9.67,9.73,9.6,9.67,3672800
2021-03-02,9.84,10.34,9.72,10.27,17188900
2021-03-03,10.32,10.7,10.25,10.27,5889600
2021-03-04,10.29,10.32,9.84,9.89,4032100
2021-03-05,9.73,10.01,9.56,9.84,6168400
2021-03-08,9.94,10.08,9.8,9.84,4699200
2021-03-09,9.73,9.94,9.6,9.8,3367100
2021-03-10,9.82,9.89,9.67,9.82,2567700
2021-03-11,9.92,9.96,9.84,9.87,5008800
2021-03-12,9.89,10.06,9.86,9.87,5823500
2021-03-15,9.91,10.01,9.89,9.91,4597200
2021-03-16,9.94,9.98,9.73,9.84,3011500
2021-03-17,9.8,9.94,9.75,9.91,3656000
2021-03-18,10.01,10.08,9.91,10.01,5781900
2021-03-19,10.01,10.1,9.89,9.98,6947000
2021-03-22,9.98,10.08,9.91,9.94,3471700
2021-03-23,9.91,9.98,9.67,9.77,4377900
2021-03-24,9.6,9.73,9.29,9.3,6669100
2021-03-25,9.39,9.48,9.23,9.29,5221400
2021-03-26,9.23,9.29,8.87,9.22,5041800
2021-03-29,9.35,9.46,9.27,9.46,2164500
2021-03-30,9.49,9.6,9.46,9.6,2611900
2021-03-31,9.6,9.68,9.54,9.61,2172200
2021-04-01,9.61,9.72,9.58,9.67,4129700
2021-04-02,9.84,9.94,9.73,9.77,3197300
2021-04-05,9.89,9.91,9.75,9.8,3468800
2021-04-06,9.79,9.8,9.67,9.72,5698500
2021-04-07,9.72,10.08,9.7,9.94,8769900
2021-04-08,10.01,10.06,9.91,9.98,4230200
2021-04-09,9.99,10.01,9.87,9.94,2837100
2021-04-12,10.05,10.06,9.94,10.06,7405300
2021-04-13,10.13,10.6,10.11,10.22,13381000
2021-04-14,10.17,10.27,10.01,10.24,4211400
2021-04-15,10.24,10.25,9.94,9.94,5927900
2021-04-16,10.24,9.84,9.48,9.56,9357800
2021-04-19,9.67,9.77,9.46,9.77,4273500
2021-04-20,9.82,9.86,9.54,9.6,4568500
2021-04-22,9.6,9.82,9.32,9.32,4524000
2021-04-23,9.49,9.67,9.25,9.67,3974200
2021-04-26,9.67,9.67,9.35,9.37,2466600
2021-04-27,9.37,9.48,9.29,9.35,1963700
2021-04-28,9.32,9.48,9.29,9.41,2403800
2021-04-29,9.48,9.6,9.39,9.46,6020100
2021-05-04,9.3,9.67,9.29,9.67,4210300
2021-05-05,9.73,9.94,9.68,9.89,5462800
2021-05-06,9.82,9.98,9.7,9.72,3732900
2021-05-07,9.63,10.2,9.63,10.05,11689700
2021-05-10,9.63,10.74,10.01,10.74,14127900
2021-05-11,11.05,11.12,10.7,10.7,9406500
2021-05-12,10.63,11.03,10.56,11.03,7670600
2021-05-13,11.05,11.22,10.87,10.87,8058500
2021-05-14,10.98,11.12,10.87,11.03,7273700
2021-05-17,11.08,11.36,11.08,11.25,6851800
2021-05-18,11.25,11.25,10.91,11.08,6628100
2021-05-19,11.08,11.36,11.08,11.36,6049900
2021-05-20,11.39,11.58,11.34,11.39,6273700
2021-05-21,11.39,11.56,11.27,11.39,6207600
2021-05-24,11.39,11.56,11.25,11.51,7400000
2021-05-25,11.6,12.2,11.58,12.12,6027300
