,Open,High,Low,Close,Volume
2020-12-28,42.66,42.75,42.36,42.66,836090
2020-12-29,42.66,43.44,42.57,43.18,696510
2020-12-30,43.18,43.36,42.44,42.62,509510
2020-12-31,42.62,43.1,42.23,42.62,367140
2021-01-04,42.66,43.44,42.36,43.1,855900
2021-01-05,43.1,43.79,43.1,43.23,739200
2021-01-06,43.31,46.23,43.23,45.71,2080400
2021-01-07,45.27,47.23,45.27,46.58,889000
2021-01-08,47.01,47.01,45.49,45.62,963900
2021-01-11,45.53,46.01,45.32,45.49,847400
2021-01-12,45.97,45.97,45.36,45.97,634900
2021-01-13,45.97,46.19,45.27,45.62,1064200
2021-01-14,45.71,45.8,44.97,45.23,832200
2021-01-15,45.62,45.66,44.62,44.92,1099800
2021-01-18,45.06,45.71,44.84,44.97,1060400
2021-01-19,44.88,44.97,41.83,43.1,1130300
2021-01-20,43.1,46.1,42.66,43.14,2093000
2021-01-21,43.14,44.84,42.66,44.84,1283700
2021-01-22,44.84,45.27,44.4,44.84,1268500
2021-01-25,44.01,44.84,44.01,44.62,725900
2021-01-26,44.62,44.62,43.1,43.92,970500
2021-01-27,43.14,43.53,40.88,42.4,1566800
2021-01-28,40.05,40.62,39.44,39.44,1205500
2021-01-29,37.22,42.18,37.22,40.48,1359000
2021-02-01,41.79,41.79,39.61,39.66,1309600
2021-02-02,40.05,42.1,40.05,42.01,1064500
2021-02-03,42.62,43.1,42.05,43.05,1454600
2021-02-04,43.05,43.1,40.88,43.05,967300
2021-02-05,43.05,43.53,42.62,43.53,897400
2021-02-08,43.1,43.44,40.53,40.96,2902200
2021-02-09,42.23,42.4,40.53,42.31,2978900
2021-02-17,42.44,43.53,42.44,43.53,1054100
2021-02-18,43.1,44.4,42.66,44.4,1688900
2021-02-19,43.18,44.27,43.14,44.1,1851200
2021-02-22,43.75,44.4,43.66,43.79,1388700
2021-02-23,43.53,43.97,43.18,43.53,1441400
2021-02-24,43.75,43.97,42.01,42.7,1265300
2021-02-25,43.1,43.31,42.49,42.75,896100
2021-02-26,42.36,43.1,42.23,42.75,1070700
2021-03-01,42.75,43.23,42.75,43.18,911200
2021-03-02,43.53,44.32,42.66,43.23,1189600
2021-03-03,42.79,43.27,42.75,42.84,915600
2021-03-04,42.92,43.31,40.53,42.36,1118100
2021-03-05,42.27,42.31,41.36,41.96,1661600
2021-03-08,42.23,42.23,41.36,41.44,1501800
2021-03-09,41.36,41.36,40.53,41.36,1344300
2021-03-10,41.36,41.7,40.92,41.57,1063900
2021-03-11,41.7,42.14,41.7,41.92,1009800
2021-03-12,41.92,42.01,41.14,41.7,1259800
2021-03-15,41.79,42.23,41.57,41.92,1438400
2021-03-16,41.79,41.79,41.4,41.66,655800
2021-03-17,41.57,41.7,41.36,41.62,1239400
2021-03-18,41.88,42.44,41.57,42.44,1609100
2021-03-19,42.27,42.27,41.01,41.01,1595700
2021-03-22,41.79,42.44,41.53,42.23,1902000
2021-03-23,42.18,42.18,41.53,41.7,940800
2021-03-24,41.36,41.75,40.96,41.22,1422500
2021-03-25,41.22,41.79,41.14,41.4,1160300
2021-03-26,41.36,41.57,40.79,41.31,1196800
2021-03-29,41.44,41.7,40.7,41.49,1195800
2021-03-30,41.49,41.49,40.96,41.27,1748700
2021-03-31,41.14,41.4,40.96,41.27,944600
2021-04-01,41.44,42.53,41.44,42.18,2697600
2021-04-02,42.44,42.88,42.18,42.57,2277500
2021-04-05,43.53,44.75,42.92,44.4,3592400
2021-04-06,44.4,44.62,43.75,44.36,2243200
2021-04-07,43.97,44.4,43.71,44.36,1182700
2021-04-08,44.36,44.36,43.31,43.53,1575400
2021-04-09,43.31,43.31,42.44,42.44,2101700
2021-04-12,42.88,43.18,42.4,43.05,2670100
2021-04-13,43.53,43.53,42.44,42.44,1670900
2021-04-14,42.36,42.97,42.18,42.97,1336800
2021-04-15,43.44,43.44,42.14,42.44,2152800
2021-04-16,43.44,42.88,41.79,41.92,1515900
2021-04-19,42.23,42.88,41.7,42.88,1387500
2021-04-20,43.14,45.71,42.88,44.84,6274200
2021-04-22,44.84,45.97,44.49,44.84,2981300
2021-04-23,44.84,45.27,43.75,45.27,2285300
2021-04-26,45.27,45.27,42.62,42.92,3595400
2021-04-27,42.92,43.36,42.53,43.1,1191800
2021-04-28,43.1,43.23,42.53,43.1,1426900
2021-04-29,43.1,43.53,42.66,43.53,1615700
2021-05-04,43.1,43.36,42.66,43.14,1496300
2021-05-05,43.14,44.4,43.14,44.05,1826700
2021-05-06,44.05,44.27,43.1,43.23,1161200
2021-05-07,43.05,43.1,42.1,42.23,2284800
2021-05-10,43.05,42.75,41.75,42.7,1674000
2021-05-11,42.75,43.23,42.44,42.62,1171500
2021-05-12,42.62,42.62,42.23,42.36,1218300
2021-05-13,42.31,42.57,42.14,42.14,1698000
2021-05-14,42.4,42.79,42.05,42.18,1403600
2021-05-17,42.27,42.36,41.7,41.79,1715100
2021-05-18,41.49,41.79,41.14,41.18,2103400
2021-05-19,41.18,41.18,40.83,40.96,1678100
2021-05-20,40.96,43.1,40.96,43.1,1904100
2021-05-21,41.92,42.66,41.79,42.14,1459200
2021-05-24,42.44,42.88,42.01,42.4,1814700
2021-05-25,42.4,43.53,42.4,43.44,3816000
2021-05-26,43.49,44.32,43.4,43.71,2356000
2021-05-27,43.71,43.71,42.66,42.97,1455000
2021-05-28,43.1,44.01,42.49,43.36,2196000
2021-05-31,43.97,43.97,42.79,42.92,2621000
2021-06-01,43.27,45.36,42.97,45.14,4533500
2021-06-02,45.27,46.8,45.14,46.14,4274100
2021-06-03,46.19,47.01,46.14,46.45,2802000
2021-06-04,46.36,46.36,45.32,45.66,2405800
2021-06-07,45.4,45.66,44.05,44.84,2969900
2021-06-08,44.84,45.27,43.53,43.53,2351600
2021-06-09,43.53,44.4,43.18,44.4,2393900
2021-06-10,44.4,44.79,43.53,44.32,2262500
2021-06-11,44.01,45.06,43.75,44.75,2048000
2021-06-14,44.45,45.01,44.1,44.4,1459700
2021-06-15,44.45,44.84,43.97,44.75,1420700
2021-06-16,44.62,46.14,44.62,45.27,2898400
2021-06-17,45.27,45.71,44.4,45.36,1557000
2021-06-18,45.49,47.45,45.4,47.23,3234900
2021-06-21,47.01,47.1,46.14,46.4,2107900
2021-06-22,46.62,47.23,46.36,46.84,1481900
2021-06-23,47.01,48.32,46.58,47.75,2248600
2021-06-24,47.88,48.23,46.93,48.19,1143400
2021-06-25,48.19,49.1,47.41,49.02,1688800
2021-06-28,49.02,49.19,48.36,49.02,1524500
2021-06-29,48.76,49.63,48.54,49.63,1853100
2021-06-30,49.63,51.02,49.63,50.67,2768000
2021-07-01,50.8,50.85,50.06,50.67,1836400
2021-07-02,50.67,50.76,49.63,50.02,1727200
2021-07-05,49.58,49.58,48.28,49.45,2049100
2021-07-06,48.97,50.06,48.76,48.76,1669600
2021-07-07,48.76,49.36,46.14,49.36,2679800
2021-07-08,48.41,49.19,47.45,48.32,1384100
2021-07-09,47.88,48.36,46.49,47.8,2936900
2021-07-12,47.67,47.67,44.88,46.62,2480600
2021-07-13,46.54,46.54,44.45,45.01,1865300
2021-07-14,45.01,45.06,43.53,44.32,2251700
2021-07-15,43.62,45.49,43.62,44.62,2319400
2021-07-16,44.62,45.01,43.97,44.62,1467300
2021-07-19,43.53,43.62,41.75,42.23,2542200
2021-07-20,42.57,43.97,40.7,43.62,2386000
2021-07-21,43.31,43.75,42.79,43.1,1463700
2021-07-22,43.05,43.84,42.66,43.66,1455800
2021-07-23,43.23,43.44,42.23,42.23,1700300
2021-07-26,42.01,42.44,41.66,41.79,1264200
2021-07-27,42.44,42.49,41.36,41.36,2654200
2021-07-28,41.4,42.23,41.4,42.23,1490800
2021-07-29,42.4,42.62,42.23,42.62,1191800
2021-07-30,42.36,43.01,42.31,42.66,1354600
2021-08-02,42.23,42.97,41.96,42.23,1285000
2021-08-03,42.27,43.01,42.23,43.01,1265700
2021-08-04,43.18,43.23,42.7,42.88,1160300
2021-08-05,42.66,43.31,42.62,43.27,1127700
2021-08-06,43.44,43.44,42.7,42.7,1114400
2021-08-09,42.7,43.05,42.53,42.79,1228900
2021-08-10,43.1,43.18,42.88,43.1,1556400
2021-08-11,43.23,44.27,43.14,43.75,1711800
2021-08-12,43.75,43.88,43.31,43.49,986600
2021-08-13,43.49,43.49,42.79,43.36,1328900
2021-08-16,43.36,43.79,43.1,43.79,1992400
2021-08-17,44.62,44.84,43.97,43.97,1688700
2021-08-18,43.97,44.62,43.4,43.97,1848000
2021-08-19,43.84,44.84,43.44,44.75,2576600
2021-08-20,44.05,44.36,43.27,43.58,1798500
2021-08-23,43.1,43.53,42.05,42.36,2136200
2021-08-24,43.18,43.18,42.01,42.23,1069100
2021-08-25,42.23,43.1,42.14,42.44,1069200
2021-08-26,42.57,43.1,42.14,42.14,1076900
2021-08-27,41.79,42.88,41.79,42.57,1106600
2021-08-30,42.84,43.27,42.57,43.23,1221700
2021-08-31,43.31,43.49,42.79,43.27,747500
2021-09-01,43.27,43.49,41.79,43.27,907500
2021-09-06,43.27,43.58,43.27,43.53,905000
2021-09-07,43.49,43.88,43.44,43.53,1041800
2021-09-08,43.53,43.58,42.14,43.4,863000
2021-09-09,43.4,43.58,42.92,43.23,817200
2021-09-10,43.44,43.44,42.92,43.18,857800
2021-09-13,43.01,43.1,42.7,42.7,1043100
2021-09-14,42.7,42.88,42.23,42.79,1230500
2021-09-15,42.79,42.79,42.27,42.27,798500
2021-09-16,43.05,43.05,42.44,42.7,570400
2021-09-17,42.44,42.84,42.31,42.31,1002200
2021-09-20,42.36,43.97,42.36,43.36,1277900
2021-09-21,43.31,43.44,42.66,42.66,862000
2021-09-22,42.84,43.31,42.66,43.31,362800
2021-09-23,43.36,43.71,42.88,43.31,676000
2021-09-24,43.31,43.44,43.23,43.31,454700
2021-09-27,43.31,43.4,42.66,42.66,465500
2021-09-28,42.57,43.23,42.44,43.18,484500
2021-09-29,43.31,43.31,42.44,42.88,565000
2021-09-30,42.88,42.92,42.27,42.31,1199900
2021-10-01,42.36,42.75,41.7,41.75,1611900
2021-10-04,41.79,42.01,41.09,41.18,913400
2021-10-05,41.4,41.83,41.4,41.62,973700
2021-10-06,41.62,41.62,41.27,41.62,691200
2021-10-07,41.62,42.14,41.36,42.14,797200
2021-10-08,42.05,42.23,41.62,42.23,697000
2021-10-11,42.23,42.84,42.14,42.44,1096000
2021-10-12,42.79,42.79,42.23,42.23,761100
2021-10-13,42.62,42.66,42.23,42.23,1426300
2021-10-14,42.23,42.31,41.75,42.1,1784700
2021-10-15,42.14,42.36,42.01,42.01,731500
2021-10-18,41.92,42.23,41.36,41.79,1247900
2021-10-19,41.83,42.01,41.44,41.96,836300
2021-10-20,41.96,42.1,40.92,41.36,1561000
2021-10-21,41.53,41.79,40.92,40.92,1226100
2021-10-22,41.36,41.36,40.92,41.05,240000
2021-10-25,41.75,41.75,40.96,40.96,800600
2021-10-26,40.96,41.18,40.75,40.92,632000
2021-10-27,41.18,42.01,41.05,41.83,1428600
2021-10-28,42.05,42.62,41.83,42.62,1772600
2021-10-29,42.36,42.84,42.18,42.66,1263800
2021-11-01,42.7,42.75,42.23,42.23,1057500
2021-11-02,42.4,42.66,42.36,42.62,808300
2021-11-03,42.53,43.01,42.36,42.97,1830000
2021-11-04,42.97,43.01,42.31,42.84,989400
2021-11-05,42.44,43.1,42.23,42.44,1126300
2021-11-08,42.7,42.84,42.44,42.75,1184200
2021-11-09,42.66,42.92,42.23,42.27,1377600
2021-11-10,42.27,42.75,42.14,42.49,857100
2021-11-11,42.57,43.23,42.23,42.79,1115600
2021-11-12,42.79,42.79,42.44,42.75,614800
