,Open,High,Low,Close,Volume
2020-12-28,65.21,65.29,63.89,64.62,1905670
2020-12-29,64.62,66.69,64.18,66.54,3451160
2020-12-30,66.76,67.79,66.32,66.46,2027680
2020-12-31,67.2,67.35,65.95,65.95,1272810
2021-01-04,67.05,68.45,66.24,67.79,3077500
2021-01-05,67.64,70.74,67.42,70.44,2853200
2021-01-06,71.18,71.18,69.41,69.85,2838200
2021-01-07,69.85,70.08,68.82,69.85,2926400
2021-01-08,70.37,71.33,70.22,71.03,2187200
2021-01-11,72.21,75.97,71.92,75.97,4512700
2021-01-12,77.22,77.3,75.97,76.19,2862600
2021-01-13,76.63,76.71,73.39,74.35,2972500
2021-01-14,74.35,74.57,72.65,73.39,3274800
2021-01-15,74.2,74.87,73.24,74.87,2078100
2021-01-18,75.16,75.75,73.39,74.42,2291200
2021-01-19,73.69,74.2,69.26,71.33,3552500
2021-01-20,71.48,75.9,69.63,71.84,3457300
2021-01-21,72.21,73.24,72.07,72.95,3018300
2021-01-22,73.24,74.42,72.88,73.17,2262800
2021-01-25,73.32,73.76,72.65,73.32,2142000
2021-01-26,73.39,73.47,70.0,72.21,2105700
2021-01-27,70.74,72.36,67.42,69.19,3312000
2021-01-28,64.48,66.1,64.4,64.4,3197600
2021-01-29,61.9,68.9,61.9,68.9,5469400
2021-02-01,68.97,70.0,65.06,65.06,2634200
2021-02-02,65.58,69.56,64.84,69.56,2756900
2021-02-03,69.63,72.88,69.63,71.62,3365900
2021-02-04,71.62,72.88,70.15,72.51,2498900
2021-02-05,72.88,73.39,72.43,73.17,2245800
2021-02-08,73.17,73.24,68.16,69.78,4803100
2021-02-09,70.67,71.7,69.19,71.33,2668600
2021-02-17,72.21,74.57,71.48,74.42,3701700
2021-02-18,74.42,76.04,73.69,76.04,4499400
2021-02-19,75.16,76.19,74.64,75.97,1911800
2021-02-22,76.34,78.25,76.34,77.96,4390500
2021-02-23,77.96,78.4,76.63,77.59,2039100
2021-02-24,78.11,78.11,74.42,75.75,3720700
2021-02-25,75.9,76.34,74.79,75.75,2300900
2021-02-26,74.64,75.75,73.98,74.87,2385600
2021-03-01,75.16,76.19,75.09,75.9,2302000
2021-03-02,76.63,77.0,74.94,75.75,2460000
2021-03-03,75.53,75.53,74.64,74.79,2148400
2021-03-04,75.09,75.16,72.21,73.69,2714300
2021-03-05,72.51,73.32,72.21,72.51,2865300
2021-03-08,73.47,73.54,71.33,71.62,3046500
2021-03-09,71.48,73.17,70.15,72.36,2196300
2021-03-10,73.32,73.91,72.21,73.61,2406700
2021-03-11,74.42,74.72,72.88,73.69,1726900
2021-03-12,73.69,74.57,73.17,73.61,1733400
2021-03-15,73.61,73.69,72.58,73.54,2288400
2021-03-16,73.39,73.54,72.29,73.32,1317500
2021-03-17,72.8,73.47,72.29,73.17,2007400
2021-03-18,73.32,73.61,72.21,73.47,1374800
2021-03-19,72.95,73.17,72.07,72.07,2747200
2021-03-22,72.73,73.32,72.21,73.17,1576700
2021-03-23,72.65,73.1,72.21,72.73,1319900
2021-03-24,71.92,72.21,70.74,71.62,2103300
2021-03-25,71.62,71.99,70.0,71.25,2404000
2021-03-26,71.11,71.25,69.34,70.52,2265800
2021-03-29,70.74,71.11,70.08,70.89,1446000
2021-03-30,70.89,72.14,70.67,70.96,2901300
2021-03-31,71.11,72.51,71.11,71.7,1897500
2021-04-01,71.84,73.32,71.55,72.95,2578700
2021-04-02,73.69,75.01,73.47,74.2,2203200
2021-04-05,77.37,77.37,74.42,74.94,2653200
2021-04-06,74.94,75.9,74.64,74.94,2102600
2021-04-07,74.2,74.72,73.32,74.05,2485300
2021-04-08,74.05,74.05,73.47,73.47,1584900
2021-04-09,73.1,73.1,72.21,72.88,2111100
2021-04-12,73.32,75.16,73.17,75.01,3269900
2021-04-13,75.82,77.37,75.01,75.53,4016800
2021-04-14,72.58,74.05,72.14,74.05,8169000
2021-04-15,75.01,77.0,74.2,74.57,7972300
2021-04-16,75.01,77.0,72.21,74.42,6593100
2021-04-19,75.9,77.0,74.64,77.0,9104900
2021-04-20,79.07,82.38,78.55,80.02,15266000
2021-04-22,80.32,82.82,75.97,75.97,6647900
2021-04-23,76.34,77.37,75.16,77.37,8823200
2021-04-26,77.37,77.37,73.39,73.39,8982600
2021-04-27,73.39,74.5,72.36,73.69,3979800
2021-04-28,73.69,75.82,73.69,74.35,5756900
2021-04-29,74.72,74.79,72.95,73.17,5374300
2021-05-04,72.21,73.32,70.81,73.1,4388500
