,Open,High,Low,Close,Volume
2020-12-30,82.31,83.06,81.86,82.01,1856600
2020-12-31,82.16,82.84,82.01,82.01,993810
2021-01-04,82.68,82.76,82.16,82.38,2299600
2021-01-05,82.84,85.19,82.46,84.28,4013900
2021-01-06,84.43,84.66,83.52,83.52,2823100
2021-01-07,83.67,84.28,83.52,83.98,2453000
2021-01-08,84.81,85.88,84.36,85.19,3323000
2021-01-11,85.57,88.24,85.57,88.16,4603900
2021-01-12,88.62,88.77,87.78,88.46,2344900
2021-01-13,88.46,89.15,86.87,87.1,2521600
2021-01-14,87.02,87.02,85.65,86.03,3680400
2021-01-15,86.33,87.7,86.03,86.64,2125700
2021-01-18,86.87,87.55,86.18,86.18,2624000
2021-01-19,86.18,86.18,81.39,81.92,3668300
2021-01-20,82.76,83.29,80.63,82.91,3363700
2021-01-21,83.6,84.2,82.76,83.9,2531200
2021-01-22,83.82,84.28,82.68,82.68,2429000
2021-01-25,82.84,83.44,82.15,82.3,2554800
2021-01-26,82.23,82.53,79.87,81.16,2596900
2021-01-27,80.63,81.24,77.97,78.58,3153800
2021-01-28,76.07,77.51,73.1,73.1,4565600
2021-01-29,73.02,78.2,73.02,78.2,4140500
2021-02-01,78.35,80.02,77.59,78.12,2934800
2021-02-02,77.82,81.39,77.82,80.93,3350900
2021-02-03,80.93,83.44,80.93,83.44,3056500
2021-02-04,83.44,83.44,81.39,82.76,1896800
2021-02-05,82.61,83.67,82.61,83.37,2231200
2021-02-08,83.37,83.37,78.96,80.1,4331600
2021-02-09,80.1,82.84,79.79,82.15,1931700
2021-02-17,82.15,82.84,81.62,82.68,2872300
2021-02-18,82.68,82.91,81.77,82.91,2847400
2021-02-19,82.0,82.38,81.47,82.15,2696500
2021-02-22,81.69,82.0,81.62,81.77,3006200
2021-02-23,81.77,82.15,80.78,81.39,3048400
2021-02-24,81.39,82.08,80.25,80.48,2801000
2021-02-25,80.55,80.86,79.26,79.56,4282900
2021-02-26,78.8,79.79,78.65,79.72,3357800
2021-03-01,80.25,80.55,79.87,80.33,2179000
