,Open,High,Low,Close,Volume
2020-12-28,10.77,10.77,10.44,10.54,4538820
2020-12-29,10.53,10.57,10.31,10.35,5984160
2020-12-30,10.39,10.57,10.38,10.38,5655530
2020-12-31,10.38,10.72,10.38,10.61,7292340
2021-01-04,10.74,11.16,10.62,11.16,8385500
2021-01-05,11.1,11.31,11.06,11.21,5658200
2021-01-06,11.42,11.42,11.16,11.23,6159400
2021-01-07,11.28,11.41,11.13,11.39,4691100
2021-01-08,11.54,11.75,11.41,11.6,4558600
2021-01-11,11.75,11.75,11.44,11.49,4430300
2021-01-12,11.49,11.49,11.19,11.39,4612500
2021-01-13,11.39,11.81,11.32,11.65,5529300
2021-01-14,11.75,12.17,11.59,12.01,6531000
2021-01-15,12.12,12.4,12.08,12.16,4658200
2021-01-18,12.16,12.19,11.9,11.9,5121400
2021-01-19,11.78,11.83,11.06,11.06,7415600
2021-01-20,11.1,11.26,10.31,11.16,8073200
2021-01-21,11.42,11.93,11.16,11.81,6882400
2021-01-22,11.85,12.01,11.67,11.91,4065000
2021-01-25,11.88,11.88,11.62,11.72,3524100
2021-01-26,11.59,11.6,10.9,11.05,6629100
2021-01-27,10.77,11.26,10.31,10.39,8073900
2021-01-28,9.69,10.08,9.68,9.68,8709000
2021-01-29,9.2,10.35,9.2,9.79,7679900
2021-02-01,9.86,10.33,9.79,10.12,8096300
2021-02-02,10.12,10.82,10.12,10.82,4539500
2021-02-03,11.1,11.57,10.93,11.57,7212700
2021-02-04,11.59,12.14,11.59,11.95,8271100
2021-02-05,11.95,12.11,11.85,12.08,5609800
2021-02-08,12.08,12.08,11.26,11.75,8585000
2021-02-09,11.91,12.57,11.55,12.57,11427300
2021-02-17,12.89,13.43,12.79,13.43,6880800
2021-02-18,13.35,13.54,13.05,13.48,5151300
2021-02-19,13.15,13.46,13.09,13.25,5478300
2021-02-22,13.15,13.71,13.07,13.36,4886200
2021-02-23,13.38,13.58,12.89,13.22,8992000
2021-02-24,13.41,13.41,12.89,12.96,4924100
2021-02-25,12.96,13.05,12.55,12.92,7600300
2021-02-26,12.63,13.14,12.61,13.05,5846800
2021-03-01,13.28,13.36,13.07,13.32,3352500
2021-03-02,13.41,13.43,13.25,13.3,5150400
2021-03-03,13.3,13.61,13.25,13.58,6067500
2021-03-04,13.71,13.95,13.05,13.54,7501300
2021-03-05,13.35,13.67,13.22,13.64,3581200
2021-03-08,13.67,13.87,13.35,13.5,3558200
2021-03-09,13.38,13.87,13.22,13.64,5754000
2021-03-10,13.67,13.84,13.48,13.71,3655900
2021-03-11,13.87,14.49,13.77,14.28,7863700
2021-03-12,14.39,14.69,14.28,14.52,8652300
2021-03-15,14.52,14.69,14.33,14.62,5081100
2021-03-16,14.62,14.62,14.16,14.47,5495600
2021-03-17,14.47,14.67,14.33,14.56,3472100
2021-03-18,14.82,14.96,14.6,14.96,6211400
2021-03-19,14.75,14.9,14.62,14.75,2892600
2021-03-22,14.72,14.75,14.46,14.65,4302500
2021-03-23,14.44,14.65,14.36,14.52,3984700
